"","stock_name","Stock.ID","BY","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits_psc","total_recruits","prop_4s","efs","efs_lag1","efs_lag2","efs_lag3","lnRS","ocean_0","ocean_1","ocean_2"
"40","E.Stuart",1,1987,148194,"75970","",NA,0,0,8,0,494847,0,0,31065,0,0,0,525912,525920,525920,"0.940931182",75970,15219,116610,21868,1.93481058440078,0,1,0
"41","E.Stuart",1,1988,179807,"88069","",NA,0,0,33,0,319342,0,0,59894,0,0,663,379899,379932,379932,"0.842066681",88069,75970,15219,116610,1.46187169119041,0,0.998254950885948,0.00174504911405199
"42","E.Stuart",1,1989,384799,"211039","",NA,0,0,420,0,1091749,0,0,45932,688,0,0,1138369,1138789,1138789,"0.959626644",211039,88069,75970,15219,1.68567774554718,0,0.999395849450601,0.000604150549399406
"43","E.Stuart",1,1990,97035,"47063","fry leaving ",27908219,0,0,2,0,156963,0,0,9121,0,0,0,166084,166086,166086,"0.945082007",47063,211039,88069,75970,1.26101859681892,0,1,0
"44","E.Stuart",1,1991,141119,"85454","stream for lake",56034423,0,0,514,0,129192,0,0,14581,172,0,0,143945,144459,144459,"0.898583183",85454,47063,211039,88069,0.525017510800716,0,0.99880935075004,0.0011906492499602
"45","E.Stuart",1,1992,66098,"36564","brood year ",14209159,0,0,10,0,80797,0,0,19569,0,0,0,100366,100376,100376,"0.805023614",36564,85454,47063,211039,1.00985898506583,0,1,0
"46","E.Stuart",1,1993,688013,"386816","t+1",498394567,0,0,847,0,1652166,0,0,161770,0,0,0,1813936,1814783,1814783,"0.910818243",386816,36564,85454,47063,1.54577205255236,0,1,0
"47","E.Stuart",1,1994,29125,"14498","",12509636,0,0,6,0,27990,0,0,1034,0,0,0,29024,29030,29030,"0.964374311",14498,386816,36564,85454,0.694319069157853,0,1,0
"48","E.Stuart",1,1995,122856,"57322","",44420729,0,0,20,0,170595,0,0,18985,0,0,0,189580,189600,189600,"0.89985758",57322,14498,386816,36564,1.19623209563435,0,1,0
"49","E.Stuart",1,1996,87570,"41063","",30930914,0,0,0,0,359206,0,0,104940,0,0,0,464146,464146,464146,"0.773907348",41063,57322,14498,386816,2.4250916851743,0,1,0
"50","E.Stuart",1,1997,266941,"73417","",30074781,0,0,1,0,109249,0,0,38121,201,0,0,147571,147572,147572,"0.741324557",73417,41063,57322,14498,0.698160675840681,0,0.998637952999214,0.00136204700078606
"51","E.Stuart",1,1998,32570,"9375","",5505462,0,0,2,0,24341,0,0,4349,0,0,0,28690,28692,28692,"0.848414082",9375,73417,41063,57322,1.11857176640771,0,1,0
"52","E.Stuart",1,1999,24552,"8189","",6104258,0,0,0,0,25927,0,0,4639,0,0,0,30566,30566,30566,"0.84823006",8189,9375,73417,41063,1.31709648981759,0,1,0
"53","E.Stuart",1,2000,89858,"35334","",35070706,0,0,0,0,132457,0,0,3417,0,0,0,135874,135874,135874,"0.974851701",35334,8189,9375,73417,1.34688231251819,0,1,0
"54","E.Stuart",1,2001,170981,"82849","",51804034,0,0,5,0,216279,0,0,35722,0,0,0,252001,252006,252006,"0.858246594",82849,35334,8189,9375,1.1124332229581,0,1,0
"55","E.Stuart",1,2002,24637,"12939","",11603591,0,0,0,0,20266,0,0,4300,0,0,19,24585,24585,24585,"0.824961329",12939,82849,35334,8189,0.641890494530087,0,0.999227171039252,0.000772828960748424
"56","E.Stuart",1,2003,13166,"6932","",6457973,0,0,0,0,8431,0,0,1588,12,0,0,10031,10031,10031,"0.841501148",6932,12939,82849,35334,0.369531926047989,0,0.998803708503639,0.00119629149636128
"57","E.Stuart",1,2004,9281,"5253","",5855048,0,0,0,0,32387,0,0,5077,0,0,0,37464,37464,37464,"0.864483237",5253,6932,12939,82849,1.96458112990942,0,1,0
"58","E.Stuart",1,2005,98537,"51183","",31630751,0,0,49,0,76119,0,0,7852,1021,0,0,84992,85041,85041,"0.906491527",51183,5253,6932,12939,0.507726047475826,0,0.98799402641079,0.0120059735892099
"59","E.Stuart",1,2006,35816,"15914","",12292381,0,0,0,0,96107,0,0,12590,0,0,0,108697,108697,108697,"0.884173436",15914,51183,5253,6932,1.92136496989492,0,1,0
"60","E.Stuart",1,2007,5347,"2376","",1170443,0,0,0,0,12528,0,0,147,0,0,0,12675,12675,12675,"0.988402367",2376,15914,51183,5253,1.67421314797685,0,1,0
"61","E.Stuart",1,2008,29867,"14446","",NA,0,0,1,0,183796,0,0,9161,131,0,0,193088,193089,193089,"0.952523101",14446,2376,15914,51183,2.59273366288028,0,0.999321556380736,0.000678443619263656
"62","E.Stuart",1,2009,45297,"21677","",NA,0,0,3,0,172827,0,0,18102,0,0,0,190929,190932,190932,"0.905189887",21677,14446,2376,15914,2.17566555310093,0,1,0
"63","E.Stuart",1,2010,75046,"42573","",NA,0,0,53,0,109754,0,0,26470,0,0,0,136224,136277,136277,"0.805687691",42573,21677,14446,2376,1.16346932952834,0,1,0
"64","E.Stuart",1,2011,757,"233","",NA,0,0,7,0,2258,0,0,235,0,0,0,2493,2500,2500,"0.905736061",233,42573,21677,14446,2.37300755729059,0,1,0
"65","E.Stuart",1,2012,NA,"6812","",NA,0,0,9,0,17601,0,0,2129,0,0,0,19731,19740,19739,"0.892093259",6812,233,42573,21677,1.06391061136041,0,1,0
"66","E.Stuart",1,2013,NA,"39658","",NA,0,0,4,0,20168,0,0,5449.90359,0,0,0,25617.66629,25621.66629,25621.90359,"0.787261921",39658,6812,233,42573,-0.436845098531435,0,1,0
"67","E.Stuart",1,2014,NA,"23298","",NA,0,0,10,0,89230.78217,0,0,23000,0,0,0,112230.7822,112240.7822,112240.7822,"0.795065137",23298,39658,6812,233,1.57227888478735,0,0.999999999732717,0
"68","E.Stuart",1,2015,NA,"4060","",NA,0,0,0,0,3000,0,0,1428.571429,0,0,0,4428.571429,4428.571429,4428.571429,"0.677419355",4060,23298,39658,6812,0.0868940819129658,0,1,0
"69","E.Stuart",1,2016,NA,"3651","",NA,0,0,0,0,14571.42857,0,0,2384.805831,0,0,0,14571.42857,14571.42857,16956.2344,"0.859355222",3651,4060,23298,39658,1.53563447473644,0,1.00000000005898,0
"72","L.Stuart",2,1950,5843,"1834","",NA,0,0,591,0,36671,0,0,2419,0,0,0,39090,39681,39681,"0.938117166",1834,3651,4060,23298,3.07437310987775,0,1,0
"73","L.Stuart",2,1951,4364,"1247","",NA,0,0,0,0,56085,0,0,7559,166,0,0,63810,63810,63810,"0.881229967",1247,1834,3651,4060,3.93516925118236,0,0.997398526876665,0.0026014731233349
"74","L.Stuart",2,1952,35,"16","",NA,0,0,86,0,3858,0,0,29,0,0,0,3887,3973,3973,"0.992539233",16,1247,1834,3651,5.51468803357482,0,1,0
"75","L.Stuart",2,1953,368634,"78689","",NA,0,0,830,0,1548072,0,0,1470,1867,0,0,1551409,1552239,1552239,"0.999051333",78689,16,1247,1834,2.98195030936145,0,0.998797221304193,0.00120277869580651
"76","L.Stuart",2,1954,5470,"2687","",NA,0,0,150,0,135111,0,0,2704,0,0,0,137815,137965,137965,"0.980379494",2687,78689,16,1247,3.93857470016764,0,1,0
"77","L.Stuart",2,1955,7582,"3274","",NA,0,0,29,0,50196,0,0,1120,0,0,0,51316,51345,51345,"0.978174449",3274,2687,78689,16,2.75255508170132,0,1,0
"78","L.Stuart",2,1956,913,"466","",NA,0,0,0,0,13472,0,0,32630,0,0,0,46102,46102,46102,"0.292221596",466,3274,2687,78689,4.59442597786598,0,1,0
"79","L.Stuart",2,1957,531108,"300029","",NA,0,0,874,0,1327094,0,0,1916,0,0,0,1329010,1329884,1329884,"0.998558325",300029,466,3274,2687,1.48896786271603,0,1,0
"80","L.Stuart",2,1958,23619,"13152","",NA,0,0,672,0,53044,0,0,961,0,0,0,54005,54677,54677,"0.982205351",13152,300029,466,3274,1.42486930736965,0,1,0
"81","L.Stuart",2,1959,8225,"4090","",NA,0,0,67,0,6092,0,0,1233,0,0,0,7325,7392,7392,"0.831672355",4090,13152,300029,466,0.591853364284673,0,1,0
"82","L.Stuart",2,1960,2396,"1307","",NA,0,0,27,0,6658,0,0,2932,0,0,0,9590,9617,9617,"0.694264859",1307,4090,13152,300029,1.99579793108826,0,1,0
"83","L.Stuart",2,1961,410887,"194469","",NA,0,0,143,0,770385,0,0,7535,415,0,0,778335,778478,778478,"0.990313914",194469,1307,4090,13152,1.38706796407914,0,0.999466908506085,0.00053309149391505
"84","L.Stuart",2,1962,18643,"9073","",NA,0,0,45,0,43107,0,0,1917,0,0,0,45024,45069,45069,"0.957422708",9073,194469,1307,4090,1.6028916785609,0,1,0
"85","L.Stuart",2,1963,3222,"1092","",NA,0,0,25,0,11911,0,0,113,0,0,0,12024,12049,12049,"0.990602129",1092,9073,194469,1307,2.40097079161843,0,1,0
"86","L.Stuart",2,1964,1816,"824","",NA,0,0,60,0,1806,0,0,1235,0,0,0,3041,3101,3101,"0.593883591",824,1092,9073,194469,1.32530938919098,0,1,0
"87","L.Stuart",2,1965,214943,"122789","",NA,0,0,228,0,1102448,0,0,21752,91,0,0,1124291,1124519,1124519,"0.98065113",122789,824,1092,9073,2.21464323250143,0,0.999919076511824,8.09234881758334e-05
"88","L.Stuart",2,1966,9027,"4164","",NA,0,0,274,0,71954,0,0,1851,0,0,0,73805,74079,74079,"0.974920398",4164,122789,824,1092,2.878655940574,0,1,0
"89","L.Stuart",2,1967,1629,"897","",NA,0,0,224,0,6294,0,0,10038,0,0,0,16332,16556,16556,"0.385378398",897,4164,122789,824,2.91544799080983,0,1,0
"90","L.Stuart",2,1968,389,"179","",NA,0,0,0,0,27393,0,0,3906,0,0,0,31299,31299,31299,"0.875203681",179,897,4164,122789,5.16395562129532,0,1,0
"91","L.Stuart",2,1969,207014,"114306","",NA,0,0,2756,0,1602892,54,0,19888,0,0,0,1622780,1625590,1625590,"0.987744488",114306,179,897,4164,2.65474704292909,0,0.999966781291716,3.32187082843768e-05
