"","2.5%","25%","50%","75%","97.5%",""
"b[(Intercept) Stock:Gates]","-0.140555333291313","-0.00136020962388216","0.0658291267515144","0.225320287038722","0.620700211984729","lo_sal"
"b[(Intercept) Stock:Harrison]","-0.135500574366457","-0.000216062294590643","0.0721006348008739","0.23155621995967","0.659408231766184","lo_sal"
"b[(Intercept) Stock:L.Shuswap]","-0.263648003568451","-0.0329243506829772","0.0205126954930329","0.130488929053487","0.473666013987778","lo_sal"
"b[(Intercept) Stock:L.Stuart]","-0.438604746153612","-0.114003295010472","-0.0167565198720108","0.0359029028674722","0.256274835467368","lo_sal"
"b[(Intercept) Stock:Nadina]","-0.200447285908433","-0.020047228182214","0.0332706152754418","0.153482015296752","0.509009339145422","lo_sal"
"b[(Intercept) Stock:Pitt]","-0.371157284182003","-0.0810336757900274","-0.00383378847822948","0.0581105672142854","0.33030302112664","lo_sal"
"b[(Intercept) Stock:Portage]","-0.466529733434995","-0.132397753458997","-0.0266173862825862","0.0237447997971958","0.227567965393636","lo_sal"
"b[(Intercept) Stock:Quesnel]","-0.535993380821096","-0.172614155053565","-0.0411916712519676","0.0153118448724607","0.201544461573199","lo_sal"
"b[(Intercept) Stock:Raft]","-0.449318459144623","-0.116788687971906","-0.0173035100792056","0.0340592327877812","0.277745661889116","lo_sal"
"b[(Intercept) Stock:Scotch]","-0.324291143889849","-0.0588909536727995","0.00393337403908689","0.0797608235029928","0.364499029478831","lo_sal"
"b[(Intercept) Stock:Seymour]","-0.467075333665385","-0.119884294849561","-0.0160407194091872","0.0372516975894336","0.259005008413147","lo_sal"
"b[(Intercept) Stock:Stellako]","-0.384549325547543","-0.084272369622851","-0.00420286216610252","0.0588032261867503","0.306321903739882","lo_sal"
"b[(Intercept) Stock:Weaver]","-0.462857375173452","-0.121643278555882","-0.0212474066609797","0.0332921802157726","0.246153428221653","lo_sal"
"b[(Intercept) Stock:Birkenhead]","-0.575882968963641","-0.156615267943271","-0.0344307555316836","0.00530245971433595","0.132700020359995","my_arc"
"b[(Intercept) Stock:Bowron]","-0.532438921944736","-0.13501736297745","-0.0253298942389476","0.010310327594934","0.164891973139242","my_arc"
