stock_name	Stock.ID	BY	total_adult_spawner	total_effective_female_spawner	juv_type	juvenile_estimate	age.21	age.31 	age.32 	age.41	age.42	age.43	age.51	age.52	age.53	age.62 	age.63	recruits_no_jacks	total_recruits		Return
L.Stuart	2	1969	207057	114300.6559			0	0	2756	0	1602892	54		19888	0	0	0	1622780	1625590		0.987744488
L.Stuart	2	1970	15055	8027.7524			0	0	318	0	70520	0		0	0	0	0	70520	70838		1
L.Stuart	2	1971	1535	724.6439			0	0	1243	0	65527	0		0	0	0	0	65527	66770		1
L.Stuart	2	1972	8704	3411			0	0	0	0	16180	0		2586	0	0	0	18766	18766		0.862197591
L.Stuart	2	1973	214343	116700.6597			0	0	290	0	658158	0		5807	1843	0	0	665808	666098		0.988510201
L.Stuart	2	1974	14627	7371.186			0	0	855	0	48593	0		1268	0	0	0	49861	50716		0.974569303
L.Stuart	2	1975	14229	5678.9384			0	0	541	0	214097	0		478	0	0	0	214575	215116		0.997772341
L.Stuart	2	1976	3000	1673.6118			0	0	0	0	3339	0		0	0	0	0	3339	3339		1
L.Stuart	2	1977	146629	75961.6904			0	0	104	0	1313861	0		43776	0	0	0	1357637	1357741		0.96775574
L.Stuart	2	1978	13027	7115			0	0	699	0	69820	0		8928	0	0	0	78748	79447		0.886625692
L.Stuart	2	1979	31918	16711			0	0	0	0	6854	0		0	0	0	0	6854	6854		1
L.Stuart	2	1980	979	285.817			0	0	0	0	21440	0		0	0	0	0	21440	21440		1
L.Stuart	2	1981	249699	120124.4746			0	0	0	0	1978010	0		55891	0	0	0	2033901	2033901		0.972520295
L.Stuart	2	1982	16758	8681			0	0	193	0	52097	0		8699	0	0	0	60796	60989		0.856914929
L.Stuart	2	1983	2246	1451			0	0	0	0	14195	0		3717	32	0	0	17944	17944		0.791072225
L.Stuart	2	1984	1228	672			0	0	222	0	14522	0		0	0	0	0	14522	14744		1
L.Stuart	2	1985	274642	159051.7833			0	0	7755	0	3367086	0		132788	0	0	0	3499874	3507629		0.962059206
L.Stuart	2	1986	28715	15044.286			0	0	264	0	725126	0		91171	0	0	0	816297	816561		0.888311485
L.Stuart	2	1987	6524	2391.5592			0	0	984	0	283932	0		95155	0	0	0	379087	380071		0.748989018
L.Stuart	2	1988	11459	3638.8656			0	0	1552	0	207234	0		0	0	0	0	207234	208786		1
L.Stuart	2	1989	575791	327147.8594			0	0	20256	0	5162734	0		144134	0	0	0	5306868	5327124		0.972840101
L.Stuart	2	1990	190060	111751.1694			0	0	440	0	372685	44		16654	0	0	0	389339	389823		0.957224938
L.Stuart	2	1991	77322	40200			0	0	354	0	91441	0		17786	0	0	0	109227	109581		0.837164804
L.Stuart	2	1992	23892	12422			0	0	0	0	128970	0		6429	0	0	0	135399	135399		0.952518113
L.Stuart	2	1993	1805142	1184360.264			0	0	4082	0	3249145	0		511029	0	0	0	3760174	3764256		0.864094321
L.Stuart	2	1994	76715	40687.7365			0	0	0	0	108011	0		7429	0	0	0	115440	115440		0.935646223
L.Stuart	2	1995	34362	17181			0	0	1366	0	92713	0		39375	0	0	0	132088	133454		0.701903277
L.Stuart	2	1996	65898	27298.4051			0	0	607	0	810002	0		212391	0	0	0	1022393	1023000		0.792260902
L.Stuart	2	1997	907652	415199.6119			0	0	81	0	351715	0		79099	0	0	0	430814	430895		0.816396403
L.Stuart	2	1998	139421	67855.2849			0	0	312	0	264390	0		12560	0	0	0	276950	277262		0.954648854
L.Stuart	2	1999	62120	33801.663			0	0	23	0	117520	0		16079	0	0	0	133599	133622		0.879647303
L.Stuart	2	2000	454478	226241.6821			0	0	1827	0	868657	0		42459	879	0	0	911995	913822		0.952480003
L.Stuart	2	2001	351881	179579.1536			0	0	29	0	415504	0		89810	0	0	0	505314	505343		0.822268926
L.Stuart	2	2002	34521	17820.1084			0		20		121483			4449				125932	125952		0.96467141
L.Stuart	2	2003	38474	19212.1666			0		11		15962			5810				21772	21783		0.733143487
L.Stuart	2	2004	83447	51359.9264			0		220		263681			19016.74794	0			282697.7479	282917.7479		0.932731166
L.Stuart	2	2005	293144	164649.0718					89	0	104603.6498			14891.89775	0	0	0	119495.5475	119584.5475		0.874671089
L.Stuart	2	2006	27515	14282.7487				0	37	0	168307.7271			5287.75295	0	0	0	173595.48	173632.48		0.96972985
L.Stuart	2	2007	8707	4142.7214				0	48	0	5172.703471	0		8547.089342	0	0	0	13719.79281	13767.79281		0.377024897
L.Stuart	2	2008	146658	57899.2607				0	326	0	183527.1774	0		6718.794508	0	0	0	190245.9719	190571.9719		0.964683644
L.Stuart	2	2009	87001	43293.9685				0	40	0	218405.4832	0		28779.68059	0	0	0	247185.1638	247225.1638		0.883570034
L.Stuart	2	2010	75289	43475.2233				0	839	0	284997.0128	0		34954.18606	0	0	0	319951.1989	320790.1989		0.890751813
L.Stuart	2	2011	4053	778.1834				0	0	0	3687.787697	0		249.1602199	0	0	0	3936.947917	3936.947917		0.935370562
L.Stuart	2	2012	93159	31966.431				0	0	0	31715.30092	0		1953.54141	0	0	0	33668.84233	33668.84233		0.943190704
L.Stuart	2	2013	132603	70943.5852				0	1300	0	216144.189	0		21637.96017	0			237782.1492	239082.1492		0.941898055
L.Stuart	2	2014	50691	27868.2839				0	518	0	306928.8597	0		14500				321428.8597	321946.8597		
L.Stuart	2	2015	11124	4348.9377				0	0		9500			4608.433735				14108.43373	14108.43373		
L.Stuart	2	2016	10066	4672.0608					60		29391.56627							29391.56627	29451.56627		
L.Stuart	2	2017	147470	80112.7755					9												
L.Stuart	2	2018	112189	67446.3126																	
L.Stuart	2	2019	5861	3045																	
																					
																					
Stellako	3	1948	15763	9241.925			0	0	0	0	185175	0		22002	0	0	0	207177	207177		0.893800953
Stellako	3	1949	104720	40227.9968			0	0	133	0	173402	0		6341	0	0	0	179743	179876		0.964721853
Stellako	3	1950	147790	78668.1843			0	0	4630	0	903768	0		30719	0	0	0	934487	939117		0.967127419
Stellako	3	1951	96502	51542.5			0	0	26	0	354049	0		101292	0	0	0	455341	455367		0.777546937
