"","2.5","25","50","75","97.5","agent"
"b.prev_std.Stock.Raft.","-0.543328483998109","-0.0530592149029663","0.189907308022801","0.408002663509722","0.909448042238769","ce_sha"
"b.prev_std.Stock.Scotch.","-0.49507577031968","0.0166030181934614","0.240707556618603","0.470920484560562","0.994445751188984","ce_sha"
"b.prev_std.Stock.Seymour.","-0.540318512162104","-0.0268060676108758","0.208793201467665","0.434923197807616","0.903633105279408","ce_sha"
"b.prev_std.Stock.Stellako.","-0.570517992659862","-0.0416259635692019","0.18242570724058","0.411831783635487","0.892222926082521","ce_sha"
"b.prev_std.Stock.Weaver.","-0.481757333513766","0.0427636802579941","0.268535661135294","0.488501853439337","1.0218652338066","ce_sha"
"prev_std","-0.475414895655892","0.0459596204122612","0.261281388885912","0.476251600317546","0.948376593298616","de_sal"
"b.prev_std.Stock.Birkenhead.","-0.60474744577649","-0.0544179845255878","0.190108881567332","0.425777561624971","0.921742966472748","de_sal"
"b.prev_std.Stock.Bowron.","-0.513141212160307","0.00765062289087822","0.246643297017553","0.478282691252193","0.98804796526547","de_sal"
"b.prev_std.Stock.Chilko.","-0.511197682340935","0.0214939430016079","0.240721598345707","0.485250645123803","0.991681993816265","de_sal"
"b.prev_std.Stock.E.Stuart.","-0.483410477564315","0.0320954650802916","0.27181514355043","0.498396252672752","0.994223517395489","de_sal"
"b.prev_std.Stock.Fennell.","-0.467081128213369","0.0943016355122421","0.323449540978747","0.563386358144158","1.10149754379689","de_sal"
"b.prev_std.Stock.Gates.","-0.610600535403058","-0.0780640004826212","0.175188897820537","0.406400441275379","0.906355214758297","de_sal"
"b.prev_std.Stock.Harrison.","-0.518538353255615","0.0161487804745926","0.259300697447817","0.492018559580335","1.00735753679598","de_sal"
"b.prev_std.Stock.L.Shuswap.","-0.45403188338472","0.0792313898000147","0.308885290398048","0.543472964503623","1.06158665434151","de_sal"
"b.prev_std.Stock.L.Stuart.","-0.500308870488833","0.0165677356956673","0.259830955601192","0.475610085789394","0.964826453655634","de_sal"
"b.prev_std.Stock.Nadina.","-0.456319369725402","0.0644121764212815","0.289452060284079","0.529144772051494","1.06648321025891","de_sal"
"b.prev_std.Stock.Pitt.","-0.599265580659946","-0.0775251493662944","0.174963080100295","0.395944218919839","0.913283964329893","de_sal"
"b.prev_std.Stock.Portage.","-0.45358775206486","0.0661848030963557","0.301325459804088","0.529375942112222","1.05496373290435","de_sal"
"b.prev_std.Stock.Quesnel.","-0.535076625520161","0.0186159299379562","0.241941252853257","0.486238878650752","0.973488783909578","de_sal"
"b.prev_std.Stock.Raft.","-0.516071824348176","0.0050769434562963","0.258511996240529","0.480972156901675","1.00344755710869","de_sal"
"b.prev_std.Stock.Scotch.","-0.433030334752982","0.0588122939428605","0.286775666452471","0.520119171944285","1.0550234117609","de_sal"
"b.prev_std.Stock.Seymour.","-0.488592578248423","0.0605914366826302","0.290895779950913","0.532685221107693","1.04777028510527","de_sal"
"b.prev_std.Stock.Stellako.","-0.520713892913795","0.0482432628394501","0.279279173740461","0.519870246858401","1.03311744959494","de_sal"
"b.prev_std.Stock.Weaver.","-0.49613886660575","0.0470683160200349","0.282857511831898","0.530377827714728","1.04897660105206","de_sal"
"prev_std","-0.984786844636659","-0.402205246051672","-0.166136605122838","0.0695635145660098","0.592399745191587","fa_mar"
"b.prev_std.Stock.Birkenhead.","-1.035665921136","-0.464071578089156","-0.19410392882741","0.0505714439757414","0.633199230475965","fa_mar"
"b.prev_std.Stock.Bowron.","-0.963295903958488","-0.370691977647707","-0.0973164415242991","0.164249893684904","0.722796776412313","fa_mar"
"b.prev_std.Stock.Chilko.","-1.01927652739888","-0.426453651546195","-0.170408656395031","0.0833016320993572","0.65471765055565","fa_mar"
"b.prev_std.Stock.E.Stuart.","-0.982562414476803","-0.399370809961939","-0.147489503747038","0.103360159536438","0.687079662788739","fa_mar"
"b.prev_std.Stock.Fennell.","-0.923280774315713","-0.345418407804702","-0.0747245243724627","0.196327954129109","0.746610763193139","fa_mar"
"b.prev_std.Stock.Gates.","-1.19604097932125","-0.594623700921369","-0.315957111289182","-0.0518299434880236","0.505536270257218","fa_mar"
"b.prev_std.Stock.Harrison.","-1.32164128461828","-0.64474644175845","-0.364043727572907","-0.0887393633277874","0.449070362148221","fa_mar"
"b.prev_std.Stock.L.Shuswap.","-1.06143629955991","-0.424142374437347","-0.152544228995541","0.109842054149664","0.669450953265974","fa_mar"
"b.prev_std.Stock.L.Stuart.","-0.950615730725664","-0.357740451269639","-0.103375527876929","0.169126037306297","0.746681680478709","fa_mar"
