"","V1","V2","V3"
"Sigma[Stock:load_std,(Intercept)]","1.00093876599034","de_sal","Rhat"
"Sigma[Stock:load_std,load_std]","1.00467260009433","de_sal","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.00157488117213","de_sal","Rhat"
"mean_PPD","0.999983799070759","de_sal","Rhat"
"log-posterior","1.00643799417957","de_sal","Rhat"
"load_std","1.00058048611382","fa_mar","Rhat"
"b[(Intercept) Stock:Birkenhead]","0.99975296048536","fa_mar","Rhat"
"b[load_std Stock:Birkenhead]","1.00306639416325","fa_mar","Rhat"
"b[(Intercept) Stock:Bowron]","1.00061931240611","fa_mar","Rhat"
"b[load_std Stock:Bowron]","0.999425146101648","fa_mar","Rhat"
"b[(Intercept) Stock:Chilko]","1.0006903044037","fa_mar","Rhat"
"b[load_std Stock:Chilko]","0.999809188961789","fa_mar","Rhat"
"b[(Intercept) Stock:E.Stuart]","0.999891089808586","fa_mar","Rhat"
"b[load_std Stock:E.Stuart]","0.999640821252128","fa_mar","Rhat"
"b[(Intercept) Stock:Fennell]","1.00042318520254","fa_mar","Rhat"
"b[load_std Stock:Fennell]","0.999667445388424","fa_mar","Rhat"
"b[(Intercept) Stock:Gates]","1.00057048807883","fa_mar","Rhat"
"b[load_std Stock:Gates]","1.00058324255125","fa_mar","Rhat"
"b[(Intercept) Stock:Harrison]","1.00044099943613","fa_mar","Rhat"
"b[load_std Stock:Harrison]","0.999918697464596","fa_mar","Rhat"
"b[(Intercept) Stock:L.Shuswap]","1.00040337386923","fa_mar","Rhat"
"b[load_std Stock:L.Shuswap]","0.999549278112763","fa_mar","Rhat"
"b[(Intercept) Stock:L.Stuart]","1.0002714466301","fa_mar","Rhat"
"b[load_std Stock:L.Stuart]","0.999859837741344","fa_mar","Rhat"
"b[(Intercept) Stock:Nadina]","0.999721425018382","fa_mar","Rhat"
"b[load_std Stock:Nadina]","1.00077865848643","fa_mar","Rhat"
"b[(Intercept) Stock:Pitt]","1.00061131188093","fa_mar","Rhat"
"b[load_std Stock:Pitt]","1.003681723232","fa_mar","Rhat"
"b[(Intercept) Stock:Portage]","0.999643244200767","fa_mar","Rhat"
"b[load_std Stock:Portage]","1.00031713718058","fa_mar","Rhat"
"b[(Intercept) Stock:Quesnel]","0.999626104989465","fa_mar","Rhat"
"b[load_std Stock:Quesnel]","1.00006453694927","fa_mar","Rhat"
"b[(Intercept) Stock:Raft]","0.999504606316938","fa_mar","Rhat"
"b[load_std Stock:Raft]","0.999645592951744","fa_mar","Rhat"
"b[(Intercept) Stock:Scotch]","0.999703998823726","fa_mar","Rhat"
"b[load_std Stock:Scotch]","0.999232561245936","fa_mar","Rhat"
"b[(Intercept) Stock:Seymour]","0.999354333748978","fa_mar","Rhat"
"b[load_std Stock:Seymour]","1.00133353894795","fa_mar","Rhat"
"b[(Intercept) Stock:Stellako]","0.9992449984249","fa_mar","Rhat"
"b[load_std Stock:Stellako]","1.00008562690189","fa_mar","Rhat"
"b[(Intercept) Stock:Weaver]","0.999596733435957","fa_mar","Rhat"
"b[load_std Stock:Weaver]","1.00043607236229","fa_mar","Rhat"
"b[(Intercept) Year:2009]","1.00005274622056","fa_mar","Rhat"
"b[(Intercept) Year:2010]","1.00064659443011","fa_mar","Rhat"
"b[(Intercept) Year:2011]","1.00067094907454","fa_mar","Rhat"
"b[(Intercept) Year:2012]","1.00000469852074","fa_mar","Rhat"
"b[(Intercept) Year:2013]","1.00001822761087","fa_mar","Rhat"
"b[(Intercept) Year:2014]","0.999489157212362","fa_mar","Rhat"
"b[(Intercept) Year:2015]","1.00172659434484","fa_mar","Rhat"
"b[(Intercept) Year:2016]","1.00031945343256","fa_mar","Rhat"
"sigma","1.00185862448467","fa_mar","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00009635830123","fa_mar","Rhat"
"Sigma[Stock:load_std,(Intercept)]","0.999248271720169","fa_mar","Rhat"
"Sigma[Stock:load_std,load_std]","1.00537423289887","fa_mar","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.00124907302165","fa_mar","Rhat"
"mean_PPD","0.999810095852926","fa_mar","Rhat"
"log-posterior","1.00619436338925","fa_mar","Rhat"
"load_std","1.00321266185234","fl_psy","Rhat"
"b[(Intercept) Stock:Birkenhead]","1.00039388181121","fl_psy","Rhat"
"b[load_std Stock:Birkenhead]","0.999659511968534","fl_psy","Rhat"
"b[(Intercept) Stock:Bowron]","1.00066650476275","fl_psy","Rhat"
"b[load_std Stock:Bowron]","1.00009108603867","fl_psy","Rhat"
"b[(Intercept) Stock:Chilko]","1.00014122115421","fl_psy","Rhat"
"b[load_std Stock:Chilko]","1.00012771811937","fl_psy","Rhat"
"b[(Intercept) Stock:E.Stuart]","1.00067861218819","fl_psy","Rhat"
"b[load_std Stock:E.Stuart]","0.999479944791136","fl_psy","Rhat"
"b[(Intercept) Stock:Fennell]","1.00054998357623","fl_psy","Rhat"
"b[load_std Stock:Fennell]","0.999611756159305","fl_psy","Rhat"
"b[(Intercept) Stock:Gates]","1.00063349558595","fl_psy","Rhat"
"b[load_std Stock:Gates]","1.0003628699349","fl_psy","Rhat"
"b[(Intercept) Stock:Harrison]","1.0012014033828","fl_psy","Rhat"
"b[load_std Stock:Harrison]","0.999669214109486","fl_psy","Rhat"
"b[(Intercept) Stock:L.Shuswap]","0.999394696013763","fl_psy","Rhat"
"b[load_std Stock:L.Shuswap]","0.999760714679377","fl_psy","Rhat"
"b[(Intercept) Stock:L.Stuart]","1.00003401987958","fl_psy","Rhat"
"b[load_std Stock:L.Stuart]","1.00078933489312","fl_psy","Rhat"
"b[(Intercept) Stock:Nadina]","1.00009024056761","fl_psy","Rhat"
"b[load_std Stock:Nadina]","0.999681564771704","fl_psy","Rhat"
"b[(Intercept) Stock:Pitt]","0.9992059420262","fl_psy","Rhat"
"b[load_std Stock:Pitt]","0.999748735283315","fl_psy","Rhat"
"b[(Intercept) Stock:Portage]","0.999772180805907","fl_psy","Rhat"
"b[load_std Stock:Portage]","0.999517588211698","fl_psy","Rhat"
"b[(Intercept) Stock:Quesnel]","1.00062207348282","fl_psy","Rhat"
"b[load_std Stock:Quesnel]","1.0007519594594","fl_psy","Rhat"
"b[(Intercept) Stock:Raft]","0.999676539193578","fl_psy","Rhat"
"b[load_std Stock:Raft]","0.999756052498571","fl_psy","Rhat"
"b[(Intercept) Stock:Scotch]","0.999123451961389","fl_psy","Rhat"
"b[load_std Stock:Scotch]","0.99998606142552","fl_psy","Rhat"
