"BY","Stock.ID","stock_name","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits","X","Return","efs","efs_lag1","efs_lag2","efs_lag3","lnRS","ocean_0","ocean_1","ocean_2","early_sst","np_pinks","early_sst_stnd","np_pinks_stnd"
2007,10,"Birkenhead","93480","54290","",NA,0,0,180,0,188807,60,0,54481,1977,265,1324,246855,247094,NA,"0.76",54290,137364,27116,17516,1.5144610717981,0,0.986397889062462,0.0136021109375379,-0.597637818248486,653.762543,-1.05720698081882,2.34743968619134
2008,10,"Birkenhead","19500","6784","",NA,0,0,1015,0,46573,14,0,23300,1589,0,283,71744,72774,NA,"0.65",6784,54290,137364,27116,2.35853732896009,0,0.974084150933026,0.0259158490669745,0.0497748499712744,435.5747755,-0.0676655592575724,0.783828660310486
2009,10,"Birkenhead","53979","34475","",NA,0,0,207,0,68048,18,0,72094,848,0,0,140990,141215,NA,"0.48",34475,6784,54290,137364,1.4084545421979,0,0.993867506992883,0.00613249300711681,0.0107485653193373,577.8224288,-0.127315496752498,1.80322585958545
2010,10,"Birkenhead","128285","68282","",NA,0,0,18,0,28555,0,0,5636,528,0,145,34864,34882,NA,"0.82",68282,34475,6784,54290,-0.67219141044907,0,0.980706381514821,0.0192936184851786,-0.0609155854769389,355.8470816,-0.236850958653368,0.212471692509376
2011,10,"Birkenhead","233065","92420","",NA,0,0,211,0,55477,0,0,34018,1454,0,0,90949,91160,NA,"0.61",92420,68282,34475,6784,-0.0160444955906616,0,0.984050021939447,0.0159499780605529,0.365161423150958,549.4208599,0.414388767581175,1.59969013073505
2012,10,"Birkenhead","","2505","",NA,0,0,76,0,15555,0,0,7773,0,0,0,23328,23404,NA,"0.67",2505,92420,68282,34475,2.23136562128942,0,1,0,0.510190324425971,381.53067615,0.636058982236948,0.396529451946478
2013,10,"Birkenhead","","46794","",NA,0,0,37,0,14138,0,0,33514,243,0,0,47895,47932,NA,"0.3",46794,2505,92420,68282,0.0232561252584391,0,0.99493031795043,0.00506968204957022,1.48947844422753,615.7924859,2.13285724670578,2.07533277288839
2014,10,"Birkenhead","","19610","",NA,0,0,7,0,9836,0,0,0,0,0,0,9836,9843,NA,"",19610,46794,2505,92420,-0.689990515854309,0,1,0,1.52035005533724,381.53067615,2.18004312897681,0.396529451946478
1951,12,"Portage","29","15","",NA,0,0,18,0,226,0,0,0,0,0,0,226,244,NA,"1",15,NA,19610,46794,2.71248479817008,0,1,0,-0.0905815455059216,294.413004,-0.279806056183934,-0.300867852830321
1953,12,"Portage","50","24","",NA,0,0,0,0,394,0,0,0,0,0,0,394,394,NA,"1",24,NA,15,NA,2.79829707894999,0,1,0,-0.973261825373918,362.0339953,-1.63954092534107,0.189306575362572
1954,12,"Portage","3369","1729","",NA,0,0,1898,0,35946,0,0,0,856,0,0,36802,38700,NA,"0.98",1729,24,NA,15,3.05800898482303,0,0.977881136950904,0.0221188630490956,0.0174811177853611,187.0299165,-0.113339698339031,-1.0792717552425
1955,12,"Portage","41","20","",NA,0,0,16,0,4376,0,0,0,0,0,0,4376,4392,NA,"1",20,1729,24,NA,5.38815807054783,0,1,0,0.483746400203301,240.0020938,0.604923955263706,-0.695284383585022
1957,12,"Portage","40","20","",NA,0,0,0,0,47,0,0,0,0,0,0,47,47,NA,"1",20,NA,20,1729,0.854415328156068,0,1,0,0.0981750566451328,182.1236784,0.0109661968982278,-1.11483633968605
1958,12,"Portage","4791","2749","",NA,0,0,895,0,24738,0,0,12,0,0,0,24750,25645,NA,"1",2749,20,NA,20,2.19758827983159,0,1,0,-0.0312903871022449,162.859114,-0.188470317351913,-1.25448227887765
1959,12,"Portage","572","286","",NA,0,0,134,0,5431,0,0,0,0,0,0,5431,5565,NA,"1",286,2749,20,NA,2.94388674721499,0,1,0,0.441754791719849,224.2375817,0.540237504722993,-0.80955896838185
1961,12,"Portage","23","12","",NA,0,0,2,0,2721,0,0,0,0,0,0,2721,2723,NA,"1",12,NA,286,2749,5.42384808899525,0,1,0,0.726493536728045,205.1036429,0.978866540647062,-0.948258022182438
1962,12,"Portage","11935","6326","",NA,0,0,1878,0,70118,0,0,184,0,0,0,70302,72180,NA,"1",6326,12,NA,286,2.40813212303062,0,1,0,-0.577838242751929,161.1151013,-1.03040617333487,-1.26712436547752
1963,12,"Portage","2011","1116","",NA,0,0,2207,0,56214,0,0,16,0,0,0,56230,58437,NA,"1",1116,6326,12,NA,3.91969955834499,0,1,0,-0.95382141285256,175.2447665,-1.60959372092404,-1.1647005407625
1964,12,"Portage","9","5","",NA,0,0,42,0,571,0,0,0,11,0,0,582,624,NA,"0.98",5,1116,6326,12,4.75703253529734,0,0.982371794871795,0.0176282051282051,-0.150513307176392,172.0482063,-0.372128619599014,-1.18787192642391
1965,12,"Portage","981","589","",NA,0,0,155,0,3308,0,0,0,0,0,0,3308,3463,NA,"1",589,5,1116,6326,1.725672872492,0,1,0,-0.126586735946503,220.7792867,-0.335270661012336,-0.834627630369172
1966,12,"Portage","31343","15201","",NA,0,0,332,0,30704,0,0,303,0,0,0,31007,31339,NA,"0.99",15201,589,5,1116,0.712851770284437,0,1,0,-0.323645532829145,132.2029342,-0.638832124326724,-1.47670433027256
1967,12,"Portage","4025","1983","",NA,0,0,167,0,4005,0,0,114,0,0,0,4119,4286,NA,"0.97",1983,15201,589,5,0.730999565916285,0,1,0,-0.4750702302964,202.78803,-0.87209602054585,-0.965043552937791
1968,12,"Portage","86","50","",NA,0,0,0,0,1046,0,0,0,0,0,0,1046,1046,NA,"1",50,1983,15201,589,3.04070563919672,0,1,0,-0.521399149570872,126.2276425,-0.943463930789961,-1.52001832398997
1969,12,"Portage","963","491","",NA,0,0,3839,0,30743,0,0,0,0,0,0,30743,34582,NA,"1",491,50,1983,15201,4.13697347724928,0,1,0,-1.13222899677045,158.6269034,-1.88442371124796,-1.28516093902392
1970,12,"Portage","3873","2139","",NA,0,0,1317,0,56751,0,0,0,0,0,0,56751,58068,NA,"1",2139,491,50,1983,3.27833484725137,0,1,0,-0.486720928821962,133.9360774,-0.890043471504665,-1.46414103504863
