"BY","Stock.ID","stock_name","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits_psc","total_recruits","prop_4s","efs","efs_lag1","efs_lag2","efs_lag3","lnRS","ocean_0","ocean_1","ocean_2","early_sst","np_pinks","early_sst_stnd","np_pinks_stnd"
1994,10,"Birkenhead",39234,"22315","",NA,0,0,1028,0,21899,7,0,40686,3793,0,0,66378,67413,67413,"0.349908125",22315,151096,93443,152083,1.10557877957667,0,0.943631050390874,0.0563689496091258,0.0784306956533429,443.5715796,0.0894252596423096,0.738199604858351
1995,10,"Birkenhead",39871,"18430","",NA,0,0,486,0,141021,21,0,28997,0,0,0,170018,170525,170525,"0.82944747",18430,22315,151096,93443,2.22490214185905,0,0.999876850901627,0.000123149098372673,0.983181013209504,501.0739726,1.46879622877968,1.12804717142432
1996,10,"Birkenhead",56112,"27848","",NA,0,0,723,0,34094,0,0,41519,2595,0,0,78208,78931,78931,"0.4509013",27848,18430,22315,151096,1.04181290258486,0,0.967123183540054,0.032876816459946,0.960940043389264,381.8192568,1.43488792557138,0.319538893235863
1997,10,"Birkenhead",50202,"23275","",NA,0,0,0,0,18165,0,0,10200,2217,0,0,30582,30582,30582,"0.640401904",23275,27848,18430,22315,0.273031777422829,0,0.927506376299784,0.0724936237002158,-0.631120201733363,401.8196412,-0.992347125499562,0.455135009883111
1998,10,"Birkenhead",295669,"173045","",NA,0,0,277,0,213323,0,0,403021,1752,0,948,619044,619321,619321,"0.346110289",173045,23275,27848,18430,1.27507204034097,0,0.995640386810717,0.0043596131892831,0.353496788584897,382.8857158,0.508787569686789,0.326769139218711
1999,10,"Birkenhead",48916,"26268","",NA,0,0,0,0,47311,0,0,36027,190,0,0,83528,83528,83528,"0.567700209",26268,173045,23275,27848,1.15683043665908,0,0.997725313667273,0.00227468633272675,-0.41557852063472,466.3283391,-0.663734986020451,0.892483050314298
2000,10,"Birkenhead",13842,"8333","",NA,0,0,652,0,63710,0,0,37603,0,0,0,101313,101965,101965,"0.628843288",8333,26268,173045,23275,2.50440608174424,0,1,0,-0.398864077850125,361.2705607,-0.638252356509303,0.180225401174958
2001,10,"Birkenhead",44450,"28361","",NA,0,0,56,0,110415,0,0,81203,0,0,0,191618,191674,191674,"0.576224572",28361,8333,26268,173045,1.91078105029371,0,1,0,0.698339721806336,594.4661709,1.0345307739364,1.76121597265144
2002,10,"Birkenhead",189445,"107481","",NA,0,342,898,0,502582,0,0,129934,0,0,369,633227,634125,634125,"0.794575947",107481,28361,8333,26268,1.77493200812628,0.000539325842696629,0.998878769958604,0.000581904198698995,1.20282916214535,344.0283572,1.80366903754005,0.0633288560744758
2003,10,"Birkenhead",309878,"152651","",NA,0,0,80,0,6064,0,0,7010,184,0,0,13258,13338,13338,"0.463821325",152651,107481,28361,8333,-2.43753716588282,0,0.986204828310091,0.0137951716899085,1.00833737217103,548.7740497,1.50714929765117,1.45143821677514
2004,10,"Birkenhead",37617,"17516","",NA,0,0,47,0,46487,0,0,29866,0,0,0,76353,76400,76400,"0.608843136",17516,152651,107481,28361,1.47286794723332,0,1,0,0.0950085306071674,328.1716624,0.114699618570663,-0.0441743896001728
2005,10,"Birkenhead",53546,"27116","",NA,0,0,361,0,33023,0,0,51290,684,0,705,85701,86062,86063,"0.39167151",27116,17516,152651,107481,1.15495562663458,0,0.983860660214029,0.0161393397859707,-0.143748962128965,657.1627969,-0.249307055705862,2.18627875356904
2006,10,"Birkenhead",266459,"137364","",NA,0,0,179,0,257819,0,0,178240,5636,0,0,441695,441874,441874,"0.591247973",137364,27116,17516,152651,1.16839043684049,0,0.987245232803922,0.0127547671960785,-1.31122443300909,407.2142707,-2.02922549338253,0.491708847481487
2007,10,"Birkenhead",93480,"54290","",NA,0,0,180,0,188807,60,0,54481,1977,265,1324,246855,247094,247094,"0.77606376",54290,137364,27116,17516,1.51542878311506,0,0.986397889062462,0.0136021109375379,-0.692748902566303,653.762543,-1.08630546864138,2.16322613541762
2008,10,"Birkenhead",19500,"6784","",NA,0,0,1015,0,46573,14,0,23300,1589,0,283,71744,72774,72774,"0.666537862",6784,54290,137364,27116,2.3727918500652,0,0.974084150933026,0.0259158490669745,-0.0453362343465421,435.5747755,-0.0992682471389154,0.683983867807378
2009,10,"Birkenhead",53979,"34475","",NA,0,0,207,0,68048,18,0,72094,848,0,0,140990,141215,141215,"0.485564642",34475,6784,54290,137364,1.41004912803214,0,0.993867506992883,0.00613249300711681,-0.0843625189984792,577.8224288,-0.158767230491117,1.64837680165839
2010,10,"Birkenhead",128285,"68282","",NA,0,0,18,0,28555,0,0,5636,528,0,145,34864,34882,34882,"0.8351613",68282,34475,6784,54290,-0.671675251804857,0,0.980706381514821,0.0192936184851786,-0.156026669794755,355.8470816,-0.268025494586869,0.143455972649499
2011,10,"Birkenhead",233065,"92420","",NA,0,0,211,0,55477,0,0,34018,1454,0,0,90949,91160,91160,"0.619889379",92420,68282,34475,6784,-0.0137272010646368,0,0.984050021939447,0.0159499780605529,0.270050338833141,549.4208599,0.381566160606701,1.45582338005869
2012,10,"Birkenhead",NA,"2505","",NA,0,0,76,0,15555,0,0,7773,0,0,0,23328,23404,23404,"0.666795267",2505,92420,68282,34475,2.23461821338916,0,1,0,0.415079240108154,432,0.602675401712024,0.659748049835513
2013,10,"Birkenhead",NA,"46794","",NA,0,0,37,0,14137.77893,0,0,26938.78897,195.2086158,0,0,47895,47932,41308.77652,"0.344181115",46794,2505,92420,68282,-0.124680005648215,0,0.99527440325168,0.00472559664664694,1.39435668317025,513,2.09566949022428,1.20890176752241
2014,10,"Birkenhead",NA,"19610","",NA,0,0,7,0,7905.948938,0,0,3500,0,0,0,9836,9843,11412.94894,"0.693142586",19610,46794,2505,92420,-0.541291057492414,0,0.999999999824761,0,1.42523897076966,701,2.14275223797091,2.48348076659818
2015,10,"Birkenhead",NA,"26687","",NA,0,0,10,0,200,0,0,1617.647059,161.7647059,0,0,0,10,1989.411765,"0.110032362",26687,19610,46794,2505,-2.59633755588828,0,0.918687167309478,0.0813128326402553,0.533011729749887,639,0.782473794012453,2.06314088392426
2016,10,"Birkenhead",NA,"13474","",NA,0,0,57,0,8897.058824,0,0,6472.864568,0,0,0,0,0,15426.92339,"0.578861625",13474,26687,19610,46794,0.135352352510248,0,1.00000000012964,0,0.861214011839329,315,1.28284687057754,-0.133473986823343
1951,12,"Portage",29,"15","",NA,0,0,18,0,226,0,0,0,0,0,0,226,244,244,"1",15,NA,13474,26687,2.78911802419099,0,1,0,-0.185692629823738,294.413004,-0.312583983846648,-0.34411498048209
1953,12,"Portage",50,"24","",NA,0,0,0,0,394,0,0,0,0,0,0,394,394,394,"1",24,NA,15,NA,2.79829707894999,0,1,0,-1.06837290969173,362.0339953,-1.66879552161071,0.119190040790643
1954,12,"Portage",3369,"1729","",NA,0,0,1898,0,35946,0,0,0,856,0,0,36802,38700,38700,"1",1729,24,NA,15,3.10829639333458,0,0.977881136950904,0.0221188630490956,-0.0776299665324554,187.0299165,-0.146548971963219,-1.07984988590219
1955,12,"Portage",41,"20","",NA,0,0,16,0,4376,0,0,0,0,0,0,4376,4392,4392,"1",20,1729,24,NA,5.39180770963538,0,1,0,0.388635315885484,240.0020938,0.569853524044281,-0.716911170290087
1957,12,"Portage",40,"20","",NA,0,0,0,0,47,0,0,0,0,0,0,47,47,47,"1",20,NA,20,1729,0.854415328156068,0,1,0,0.00306397232731629,182.1236784,-0.0225651769184076,-1.11346496168843
1958,12,"Portage",4791,"2749","",NA,0,0,895,0,24738,0,0,12,0,0,0,24750,25645,25645,"0.999515152",2749,20,NA,20,2.23311141165812,0,1,0,-0.126401471420061,162.859114,-0.22148491326756,-1.24545606752056
1959,12,"Portage",572,"286","",NA,0,0,134,0,5431,0,0,0,0,0,0,5431,5565,5565,"1",286,2749,20,NA,2.96826045288979,0,1,0,0.346643707402033,224.2375817,0.505334688387225,-0.824921678172789
1961,12,"Portage",23,"12","",NA,0,0,2,0,2721,0,0,0,0,0,0,2721,2723,2723,"1",12,NA,286,2749,5.42458284288576,0,1,0,0.631382452410228,205.1036429,0.942827153140516,-0.956017803094062
1962,12,"Portage",11935,"6326","",NA,0,0,1878,0,70118,0,0,184,0,0,0,70302,72180,72180,"0.99738272",6326,12,NA,286,2.43449487433119,0,1,0,-0.672949327069746,161.1151013,-1.06123915348143,-1.25740516536044
1963,12,"Portage",2011,"1116","",NA,0,0,2207,0,56214,0,0,16,0,0,0,56230,58437,58437,"0.999715454",1116,6326,12,NA,3.95819838690345,0,1,0,-1.04893249717038,175.2447665,-1.63892591609025,-1.16059580616279
1964,12,"Portage",9,"5","",NA,0,0,42,0,571,0,0,0,11,0,0,582,624,624,"1",5,1116,6326,12,4.82671245593533,0,0.982371794871795,0.0176282051282051,-0.245624391494209,172.0482063,-0.404667321958806,-1.18249702888948
1965,12,"Portage",981,"589","",NA,0,0,155,0,3308,0,0,0,0,0,0,3308,3463,3463,"1",589,5,1116,6326,1.77146436075084,0,1,0,-0.22169782026432,220.7792867,-0.36790486934577,-0.848616176105155
1966,12,"Portage",31343,"15201","",NA,0,0,332,0,30704,0,0,303,0,0,0,31007,31339,31339,"0.990228013",15201,589,5,1116,0.723502113152259,0,1,0,-0.418756617146961,132.2029342,-0.670679747232598,-1.45549679246893
1967,12,"Portage",4025,"1983","",NA,0,0,167,0,4005,0,0,114,0,0,0,4119,4286,4286,"0.972323379",1983,15201,589,5,0.770743047513726,0,1,0,-0.570181314614217,202.78803,-0.903339212376917,-0.971883218008409
1968,12,"Portage",86,"50","",NA,0,0,0,0,1046,0,0,0,0,0,0,1046,1046,1046,"1",50,1983,15201,589,3.04070563919672,0,1,0,-0.616510233888689,126.2276425,-0.974522194805816,-1.49643648582387
1969,12,"Portage",963,"491","",NA,0,0,3839,0,30743,0,0,0,0,0,0,30743,34582,34582,"1",491,50,1983,15201,4.25464446667021,0,1,0,-1.22734008108827,158.6269034,-1.91304376969205,-1.27445304589026
1970,12,"Portage",3873,"2139","",NA,0,0,1317,0,56751,0,0,0,0,0,0,56751,58068,58068,"1",2139,491,50,1983,3.30127630749891,0,1,0,-0.581832013139779,133.9360774,-0.921240158080316,-1.44362216697605
1971,12,"Portage",281,"155","",NA,0,0,2050,0,15812,0,0,0,181,0,0,15993,18043,18043,"1",155,2139,491,50,4.75708795998905,0,0.989968408801197,0.0100315911988029,-0.369110777205569,228.2673373,-0.594400416577818,-0.797311819634943
1972,12,"Portage",190,"98","",NA,0,0,2127,0,13156,0,0,0,0,0,0,13156,15283,15283,"1",98,155,2139,491,5.04952889985726,0,1,0,-0.562141737947529,199.0080226,-0.890986646127525,-0.997781927494913
1973,12,"Portage",3963,"1688","",NA,0,0,10591,0,80696,0,0,0,0,0,0,80696,91287,91287,"1",1688,98,155,2139,3.99046399355631,0,1,0,-0.715876592236982,279.1204321,-1.12719559731766,-0.448891991484652
1974,12,"Portage",8475,"4843","",NA,0,0,1645,0,40703,0,0,263,0,0,0,40966,42611,42611,"0.993580042",4843,1688,98,155,2.17457807248467,0,1,0,-0.832502957081179,234.0968415,-1.30638847747675,-0.757370988903724
1975,12,"Portage",3175,"1631","",NA,0,0,810,0,14691,17,0,235,0,0,0,14926,15753,15753,"0.984255661",1631,4843,1688,98,2.26783749968496,0,0.99892084047483,0.00107915952516981,-0.32187409234626,319.9023766,-0.521822679799219,-0.169474619735535
1976,12,"Portage",1042,"753","",NA,0,0,118,0,7097,0,0,0,375,0,0,7472,7590,7590,"1",753,1631,4843,1688,2.31052164258978,0,0.950592885375494,0.0494071146245059,0.312449710075456,244.4852059,0.45279664629625,-0.686195141037518
1977,12,"Portage",7610,"3923","",NA,0,0,768,0,38060,0,0,1161,0,0,0,39221,39989,39989,"0.970398511",3923,753,1631,4843,2.32174774906709,0,1,0,-0.0836724683312638,297.883815,-0.155833093114912,-0.320334729212856
1978,12,"Portage",9978,"3963","",NA,0,0,1315,0,99561,16,0,4769,6042,0,50,110422,111753,111753,"0.954289274",3963,3923,753,1631,3.33928976456263,0,0.945343749161096,0.0546562508389037,0.0607195625122281,223.2043036,0.0660208925891925,-0.83200118000939
1979,12,"Portage",3575,"2023","",NA,0,0,233,0,51559,0,0,597,303,0,0,52459,52692,52692,"0.98855357",2023,3963,3923,753,3.25988208318197,0,0.994249601457527,0.00575039854247324,-0.139101241454311,431.0079915,-0.240997725596364,0.591765171121605
1980,12,"Portage",1800,"996","",NA,0,0,675,0,11292,74,0,184,0,0,0,11476,12225,12225,"0.983966539",996,2023,3963,3923,2.50749105675847,0,0.993946830265849,0.00605316973415133,-0.633896154932326,308.7731516,-1.00123513634515,-0.245726471804643
1981,12,"Portage",5855,"2951","",NA,0,0,154,0,15829,0,0,676,3410,0,0,19915,20069,20069,"0.959042714",2951,996,2023,3963,1.91703223999574,0,0.830086202601027,0.169913797398974,0.649628825733117,326.2901376,0.970862153567345,-0.125708894195364
1982,12,"Portage",23867,"11734","",NA,0,0,1276,0,198075,0,0,11246,387,0,0,209708,210984,210984,"0.946273905",11734,2951,996,2023,2.88929169071332,0,0.99816573768627,0.00183426231372995,-0.530607826651426,261.7616152,-0.842535745721096,-0.567825873974541
1983,12,"Portage",7747,"4909","",NA,0,0,432,0,36858,0,0,0,68,0,0,36926,37358,37358,"1",4909,11734,2951,996,2.0294768236612,0,0.998179774077841,0.00182022592215857,-0.253032875923297,270.3310462,-0.416050234083655,-0.509112442901988
1984,12,"Portage",1710,"941","",NA,0,0,517,0,24388,0,0,25188,472,0,0,50048,50565,50565,"0.49193158",941,4909,11734,2951,3.98407177675089,0,0.990665480075151,0.0093345199248492,-0.115328300054935,212.1579015,-0.204471320568664,-0.907685571224868
1985,12,"Portage",1765,"960","",NA,0,0,1174,0,23668,0,0,329,669,0,0,24666,25840,25840,"0.986289953",960,941,4909,11734,3.29274567343466,0,0.974109907120743,0.025890092879257,0.0746915158123528,364.3859048,0.0874883760063632,0.135304141752204
1986,12,"Portage",14291,"6212","",NA,0,0,255,0,67751,0,0,3588,0,0,0,71339,71594,71594,"0.94970493",6212,960,941,4909,2.44452836628616,0,1,0,-0.0760943337945101,303.0355966,-0.144189518733698,-0.285037312864858
1987,12,"Portage",6820,"3766","",NA,0,0,292,0,60858,373,0,1015,506,0,0,62379,63044,63044,"0.983595429",3766,6212,960,941,2.81781946507833,0,0.986057356766703,0.0139426432332974,0.4559102752824,486.0193237,0.673219463238427,0.96867515048126
1988,12,"Portage",1068,"797","",NA,0,0,394,0,15654,8,0,5040,0,0,0,20694,21096,21096,"0.756451145",797,3766,6212,960,3.27598404924291,0,0.999620781190747,0.000379218809252939,0.38718063046672,277.2341688,0.567618443921001,-0.461815718888401
1989,12,"Portage",7900,"5067","",NA,0,0,178,0,185837,0,0,9777,3561,0,0,199175,199353,199353,"0.950018915",5067,797,3766,6212,3.67232819612931,0,0.982137213886924,0.0178627861130758,-0.218827666228537,398.5924679,-0.363494964528284,0.369670307347185
1990,12,"Portage",18336,"8415","",NA,0,0,0,0,50136,0,0,834,0,0,0,50970,50970,50970,"0.983637434",8415,5067,797,3766,1.80122139670918,0,1,0,1.113738592002,453.748659,1.68395276424347,0.747572787030419
1991,12,"Portage",12053,"7292","",NA,0,0,0,0,15705,0,0,124,62,0,0,15891,15891,15891,"0.992166277",7292,8415,5067,797,0.778975054414083,0,0.996098420489585,0.0039015795104147,0.894295165047351,434.867605,1.34678457966945,0.618209301566082
1992,12,"Portage",2706,"1378","",NA,0,0,1049,0,13925,0,0,2162,0,0,0,16087,17136,17136,"0.865605769",1378,7292,8415,5067,2.52054834111393,0,1,0,0.544388553746031,424.2513281,0.809163660509746,0.5454719118823
1993,12,"Portage",19760,"9829","",NA,0,0,7,0,169441,0,0,4361,1093,0,0,174895,174902,174902,"0.974908229",9829,1378,7292,8415,2.87888861748046,0,0.993750786154532,0.00624921384546775,0.974016416126533,401.9695761,1.46927386937551,0.392808554160217
1994,12,"Portage",9270,"3890","",NA,0,0,23,0,124712,0,0,2935,0,0,0,127647,127670,127670,"0.977006902",3890,9829,1378,7292,3.4910396522019,0,1,0,0.02438458782327,443.5715796,0.0101933035725897,0.677844557714868
1995,12,"Portage",7875,"4319","",NA,0,0,43,0,37059,0,0,918,2294,0,182,40453,40496,40496,"0.975827475",4319,3890,9829,1378,2.2381793098242,0,0.938858158830502,0.0611418411694982,0.98528674121927,501.0739726,1.48659038281048,1.0718220327552
1996,12,"Portage",3422,"1759","",NA,0,0,234,0,83370,0,0,1817,1090,0,0,86277,86511,86511,"0.978670454",1759,4319,3890,9829,3.89552610772735,0,0.987400446186034,0.0125995538139659,0.995939148514954,381.8192568,1.50295748425012,0.25474870125861
1997,12,"Portage",9766,"5056","",NA,0,0,0,0,40148,0,0,1033,318,0,0,41499,41499,41499,"0.974915616",5056,1759,4319,3890,2.10509367371623,0,0.992337164750958,0.00766283524904215,-0.700178301295691,401.8196412,-1.10307564835841,0.391781275637697
1998,12,"Portage",25179,"11873","",NA,0,0,9,0,17568,0,0,110,366,0,0,18044,18053,18053,"0.993777577",11873,5056,1759,4319,0.419044961270866,0,0.979726361269595,0.0202736387304049,0.341203504073114,382.8857158,0.496975980607364,0.26205554193312
1999,12,"Portage",6264,"2079","",NA,0,0,12,0,8262,0,0,689,115,0,0,9066,9078,9078,"0.92302536",2079,11873,5056,1759,1.4739668951584,0,0.987332011456268,0.0126679885437321,-0.415404406324128,466.3283391,-0.665529176750131,0.83376242791394
2000,12,"Portage",1269,"671","",NA,0,0,86,0,12743,0,0,0,0,0,0,12743,12829,12829,"1",671,2079,11873,5056,2.95069437527766,0,1,0,-0.398864077850125,361.2705607,-0.640115462604161,0.113959370893715
2001,12,"Portage",3150,"1851","",NA,0,0,25,0,18585,0,0,0,0,0,0,18585,18610,18610,"1",1851,671,2079,11873,2.3079730370628,0,1,0,0.698339721806336,594.4661709,1.04570497126257,1.71169840232993
2002,12,"Portage",14953,"8001","",NA,0,0,8,0,48183,0,0,0,0,0,0,48183,48191,48191,"1",8001,1851,671,2079,1.79560574776214,0,1,0,1.20320741175646,344.0283572,1.82141889823174,-0.00417553523204426
2003,12,"Portage",4940,"3179","",NA,0,0,0,0,4835,0,0,0,375,0,0,5210,5210,5210,"1",3179,8001,1851,671,0.49401317383661,0,0.928023032629559,0.0719769673704415,0.954454942757195,548.7740497,1.43921825752573,1.39863896948837
2004,12,"Portage",1287,"778","",NA,0,0,0,0,5627,0,0,61,0,0,0,5688,5688,5688,"0.989275668",778,3179,8001,1851,1.98938744730469,0,1,0,0.0950085306071674,328.1716624,0.118704854391687,-0.112817632610307
2005,12,"Portage",12082,"8261","",NA,0,0,0,0,2520,13,0,0,0,0,0,2520,2533,2533,"1",8261,778,3179,8001,-1.18214127456083,0,0.994867745756021,0.00513225424397947,-0.130599557297929,657.1627969,-0.22793514517366,2.14126414935941
2006,12,"Portage",18882,"10971","",NA,0,307,50,0,171032,0,0,1278,0,0,0,172617,172668,172667,"0.992583135",10971,8261,778,3179,2.75610945625609,0.00177798884558138,0.998222011154419,0,-1.31697529657539,407.2142707,-2.05076556568797,0.42874256365206
2007,12,"Portage",1699,"849","",NA,0,0,0,0,2761,0,0,94,0,0,0,2856,2856,2855,"0.967075306",849,10971,8261,778,1.21276793577876,0,1,0,-0.701690652720648,653.762543,-1.10539933055508,2.1179673198515
2008,12,"Portage",97,"63","",NA,0,0,0,0,94,0,0,208,156,0,0,459,459,458,"0.311258278",63,849,10971,8261,1.98373445772265,0,0.65938864628821,0.34061135371179,-0.0577849061333653,435.5747755,-0.116057637224331,0.623054478148785
2009,12,"Portage",1773,"792","",NA,0,0,0,0,12139,0,0,0,0,0,0,12139,12139,12139,"1",792,63,849,10971,2.72961729708338,0,1,0,-0.0838688911806388,577.8224288,-0.156134890878698,1.59766385271075
2010,12,"Portage",75545,"34854","",NA,0,0,182,0,83764,0,0,28,3,0,0,83795,83977,83977,"0.999665839",34854,792,63,849,0.879375043588382,0,0.999964275932696,3.57240673041428e-05,-0.164347280978598,355.8470816,-0.279787501313124,0.076800419930544
2011,12,"Portage",1821,"330","",NA,0,0,0,0,51,0,0,0,0,0,0,51,51,51,"1",330,34854,792,63,-1.8672670217362,0,1,0,0.267699637403428,549.4208599,0.384039513891909,1.4030705876547
2012,12,"Portage",NA,"13","",NA,0,0,0,0,219,0,0,0,0,0,0,219,219,219,"1",13,330,34854,792,2.82412237235496,0,1,0,0.415079240108154,432,0.610483813348928,0.598561914416246
2013,12,"Portage",NA,"4181","",NA,0,0,0,0,1821.398574,0,0,773.2732313,0,0,0,2583,2583,2594.671805,"0.701976477",4181,13,330,34854,-0.477090415816499,0,1.00000000011562,0,1.39421005332303,513,2.11488867675079,1.15353317410394
2014,12,"Portage",NA,"12327","",NA,0,0,67,0,92019.51452,0,0,201.6129032,0,0,0,90613,90680,92288.12742,"0.99781381",12327,4181,13,330,2.01312352432997,0,1.00000000003467,0,1.42523897106884,701,2.16256366984964,2.44161461634203
2015,12,"Portage",NA,"17","",NA,0,0,0,0,0,0,0,7.692307692,0,0,0,0,0,7.692307692,"0",17,12327,4181,13,-0.792992515569662,0,1,0,0.503962606011743,639,0.74705041521272,2.01682180028479
2016,12,"Portage",NA,"21","",NA,0,0,0,0,15.38461538,0,0,3.917637697,0,0,0,0,0,19.30225308,"0.797037285",21,17,12327,4181,-0.0843006087297815,0,0.999999999844578,0,0.861214011593826,315,1.29595638851181,-0.203063238465973
1966,13,"Weaver",19489,"9860","",NA,0,0,660,0,73515,47,0,1939,0,0,0,75454,76161,76161,"0.974302224",9860,NA,NA,NA,2.04436335203447,0,0.99938288625412,0.000617113745880437,-0.418850063409234,132.2029342,-0.727405658947993,-1.68824562291591
1967,13,"Weaver",22581,"10619","",NA,0,0,1764,0,77288,0,0,8421,932,0,0,86641,88405,88405,"0.901748941",10619,9860,NA,NA,2.11928367970834,0,0.989457609863695,0.0105423901363045,-0.570669732155802,202.78803,-0.950827825750645,-1.19745243403974
1968,13,"Weaver",3799,"2202","fry leaving ",3584000,0,0,2976,0,141825,18,0,10577,0,0,0,152402,155396,155396,"0.930598024",2202,10619,9860,NA,4.25661065927604,0,0.999884166902623,0.000115833097377024,-0.61658098820186,126.2276425,-1.01839214328031,-1.72979309741701
1969,13,"Weaver",58727,"30604","stream for lake",37132000,0,0,3031,0,371636,0,0,38246,0,0,0,409882,412913,412913,"0.906690218",30604,2202,10619,9860,2.60210619764778,0,1,0,-1.22734008108827,158.6269034,-1.91720269301805,-1.50451414306951
1970,13,"Weaver",10435,"5004","brood year ",9843000,0,0,7393,0,371993,0,0,4653,0,0,0,376646,384039,384039,"0.987646225",5004,30604,2202,10619,4.34050651732594,0,1,0,-0.581832013139779,133.9360774,-0.967254557705009,-1.67619470950046
1971,13,"Weaver",4990,"2656","t+1",5233000,0,0,10694,0,139598,0,0,2345,2647,0,0,144590,155284,155284,"0.983479284",2656,5004,30604,2202,4.06843446683235,0,0.982953813657557,0.0170461863424435,-0.370478532002343,228.2673373,-0.65622072982968,-1.02028938937157
1972,13,"Weaver",25738,"15027","Most are from",19400000,0,0,7439,0,331589,0,0,11114,0,0,0,342703,350142,350142,"0.967569586",15027,2656,5004,30604,3.1484902034458,0,1,0,-0.562141737947529,199.0080226,-0.938277785560047,-1.22373562973134
1973,13,"Weaver",48541,"24885","spawning channel",38817000,0,0,4227,0,257812,0,0,11669,959,0,0,270440,274667,274667,"0.956698246",24885,15027,2656,5004,2.40129424252234,0,0.996508499382889,0.0034915006171109,-0.716283793261807,279.1204321,-1.16511764285956,-0.666697001655147
1974,13,"Weaver",64093,"28099","",43627000,0,0,5905,0,252878,0,0,26097,0,0,0,278975,284880,284880,"0.906453983",28099,24885,15027,2656,2.31633405045167,0,1,0,-0.832502957081179,234.0968415,-1.33614908838235,-0.979755606375907
1975,13,"Weaver",29736,"16033","",25961000,0,0,2922,0,165459,0,0,1479,0,0,0,166938,169860,169860,"0.991140423",16033,28099,24885,15027,2.36032547014516,0,1,0,-0.322581610689229,319.9023766,-0.585734250499946,-0.383131464725948
1976,13,"Weaver",49932,"28243","",57578000,0,0,9408,0,271322,0,0,23704,0,0,0,295026,304434,304434,"0.919654539",28243,16033,28099,24885,2.37760867561066,0,1,0,0.333038180886616,244.4852059,0.379094586513903,-0.907523098460494
1977,13,"Weaver",52627,"28510","",19859000,0,0,2995,0,217049,0,0,15719,0,0,0,232768,235763,235763,"0.93246924",28510,28243,16033,28099,2.11257216022879,0,1,0,-0.0836724683312638,297.883815,-0.234148723438343,-0.53623120822917
1978,13,"Weaver",75171,"42315","",43047000,0,0,10226,0,1184905,0,0,170418,636,0,0,1355959,1366185,1366185,"0.874260232",42315,28510,28243,16033,3.4746358297566,0,0.999534470075429,0.000465529924570977,0.0720069310471388,223.2043036,-0.00504646664367106,-1.05549373990544
1979,13,"Weaver",45026,"25702","",27036000,0,0,1244,0,128249,0,0,11535,0,0,0,139784,141028,141028,"0.917479826",25702,42315,28510,28243,1.70238964233879,0,1,0,-0.13618579524863,431.0079915,-0.31142883729157,0.389409514652005
1980,13,"Weaver",73830,"43285","",53003000,0,0,3167,0,331805,0,0,29742,0,0,0,361547,364714,364714,"0.917736836",43285,25702,42315,28510,2.13130733012604,0,1,0,-0.643184776996941,308.7731516,-1.05754303978028,-0.460515334019646
1981,13,"Weaver",42002,"22627","",27213000,0,0,2908,0,206879,0,0,60505,0,0,0,267384,270292,270292,"0.773714957",22627,43285,25702,42315,2.48035897263086,0,1,0,0.891320692461498,326.2901376,1.20067909828295,-0.33871600342443
1982,13,"Weaver",294083,"115031","",58644000,0,0,9112,0,1275213,0,0,221670,0,0,0,1496883,1505995,1505995,"0.851912274",115031,22627,43285,25702,2.57200743104674,0,1,0,-0.531117452222339,261.7616152,-0.892621559344738,-0.787396548845796
1983,13,"Weaver",39341,"27380","",31375000,0,0,2374,0,219473,0,0,18144,0,0,0,237617,239991,239991,"0.923641827",27380,115031,22627,43285,2.17078860277855,0,1,0,-0.253280652600751,270.3310462,-0.48374897846333,-0.72781147185927
1984,13,"Weaver",59602,"30435","",45937000,0,0,7491,0,575398,4,0,51913,972,0,0,628283,635778,635778,"0.917245194",30435,27380,115031,22627,3.03925618385602,0,0.9984648729588,0.00153512704119992,-0.116855855230114,212.1579015,-0.282982344694413,-1.13230172395393
1985,13,"Weaver",37019,"22773","",20269000,0,0,1101,0,48781,0,0,19418,0,0,0,68199,69300,69300,"0.715274418",22773,30435,27380,115031,1.11286928249312,0,1,0,0.0786991330459546,364.3859048,0.00480196922501979,-0.0738280287767825
1986,13,"Weaver",110738,"41837","",21771000,0,0,45,0,39242,13,0,3417,0,0,0,42659,42717,42717,"0.919899669",41837,22773,30435,27380,0.0208158520018323,0,0.999695671512513,0.000304328487487417,-0.0759321349120061,303.0355966,-0.222757827393165,-0.500409774664472
1987,13,"Weaver",59968,"30106","",29529000,0,0,798,0,192151,0,0,27769,0,0,0,219920,220718,220718,"0.873731357",30106,41837,22773,30435,1.99216138117559,0,1,0,0.45687871727665,486.0193237,0.561341861894614,0.771915011722738
1988,13,"Weaver",49258,"27623","",22201000,0,0,3179,0,334751,0,0,175848,0,0,0,510599,513778,513778,"0.655604496",27623,30106,41837,22773,2.92314250651486,0,1,0,0.387419721730042,277.2341688,0.459124017414501,-0.679812591703933
1989,13,"Weaver",17167,"10620","",22493766,0,405,2243,7553,684087,0,0,70074,1576,0,0,763695,765938,765938,"0.907083501",10620,27623,30106,41837,4.2783622107032,0.0103898748984905,0.987552517305578,0.00205760779593126,-0.233721525815164,398.5924679,-0.454965208064658,0.164017482291333
