"BY","Stock.ID","stock_name","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits_psc","total_recruits","prop_4s","efs","efs_lag1","efs_lag2","efs_lag3","lnRS","ocean_0","ocean_1","ocean_2","early_sst","np_pinks","early_sst_stnd","np_pinks_stnd"
1989,9,"L.Shuswap",563,"380","",NA,0,0,277,0,12858,0,0,0,0,0,0,12858,13135,13135,"1",380,3558,319734,1068479,3.54286444939921,0,1,0,-0.2430639396491,398.5924679,-0.377518487571905,0.433255822039717
1990,9,"L.Shuswap",3717673,"1745709","",89263205,0,2206,19675,0,7602634,3,0,125559,20134,0,159,7750692,7770370,7770370,"0.983753123",1745709,380,3558,319734,1.49315700543311,0.000283898964914155,0.997104127602675,0.00261197343241055,1.11278379656944,453.748659,1.66331347831005,0.807196901002854
1991,9,"L.Shuswap",1255852,"616033","",56186507,0,0,770,0,845854,0,0,19352,213,0,0,865419,866189,866189,"0.977633072",616033,1745709,380,3558,0.340802596027004,0,0.999754095237875,0.000245904762124663,0.895579320043366,434.867605,1.33637570573733,0.679189481275112
1992,9,"L.Shuswap",12996,"6640","",NA,0,0,0,0,11466,0,0,8443,0,0,0,19909,19909,19909,"0.575920438",6640,616033,1745709,380,1.09805992730932,0,1,0,0.544388553746031,424.2513281,0.807760786202839,0.60721456858834
1993,9,"L.Shuswap",1395,"765","",NA,0,0,23,0,15343,0,0,0,0,0,0,15343,15366,15366,"1",765,6640,616033,1745709,3.00003672160104,0,1,0,0.979988187371609,401.9695761,1.46342855248826,0.456151519855284
1994,9,"L.Shuswap",1409211,"686190","",63883374,0,0,634,0,2589723,31,0,17569,2243,0,0,2609535,2610200,2610200,"0.993261591",686190,765,6640,616033,1.33602756842605,0,0.999128802390621,0.000871197609378592,0.0252198852745135,443.5715796,0.0263042951840933,0.738199604858351
1995,9,"L.Shuswap",428875,"210969","",16393377,0,0,475,0,750905,0,0,20211,0,0,0,771116,771591,771591,"0.973789936",210969,686190,765,6640,1.29674341363783,0,1,0,0.983176763388719,501.0739726,1.46822802051666,1.12804717142432
1996,9,"L.Shuswap",12466,"5492","",NA,0,0,0,0,31740,0,0,29362,430,0,0,61532,61532,61532,"0.519459265",5492,210969,686190,765,2.41626487678778,0,0.993011766235455,0.00698823376454528,1.00562443906587,381.8192568,1.50201642673508,0.319538893235863
1997,9,"L.Shuswap",1072,"596","",NA,0,0,0,282,33707,0,0,722,0,0,0,34711,34711,34711,"0.979029307",596,5492,210969,686190,4.06457125151665,0.00812422574976232,0.991875774250238,0,-0.694318160103172,401.8196412,-1.05674965287245,0.455135009883111
1998,9,"L.Shuswap",1389271,"680650","",30030503,0,64859,20892,0,7141837,0,0,20407,28,0,0,7227131,7248023,7248023,"0.997150753",680650,596,5492,210969,2.36543579704848,0.00894850913138659,0.991047627746214,3.86312239903212e-06,0.347329523972377,382.8857158,0.511146087970281,0.326769139218711
1999,9,"L.Shuswap",343540,"138247","",NA,0,0,111,0,677510,0,0,21292,0,0,0,698802,698913,698913,"0.969530711",138247,680650,596,5492,1.62048433062044,0,1,0,-0.415616627430288,466.3283391,-0.637246059935486,0.892483050314298
2000,9,"L.Shuswap",855,"164","",NA,0,0,0,0,1388,0,0,0,0,0,0,1388,1388,1388,"1",164,138247,680650,596,2.13575271324255,0,1,0,-0.398864077850125,361.2705607,-0.612029999326371,0.180225401174958
2001,9,"L.Shuswap",4861,"2141","",NA,0,0,88,1104,6455,0,0,1243,0,0,0,8802,8890,8890,"0.838529488",2141,164,138247,680650,1.42365403991827,0.124184476940382,0.875815523059618,0,0.562084041848998,594.4661709,0.834396164798624,1.76121597265144
2002,9,"L.Shuswap",5532263,"2845464","",122876324,0,25496,42234,0,7387191,0,0,53848,1018,0,0,7467553,7509787,7509787,"0.992763376",2845464,2141,164,138247,0.970480955764151,0.00339503637053887,0.996469407188247,0.000135556441214644,1.20146868353591,344.0283572,1.79680262121086,0.0633288560744758
2003,9,"L.Shuswap",381278,"189793","",18456594,0,5984,12,0,120226,0,0,12198,0,0,0,138408,138420,138420,"0.907886788",189793,2845464,2141,164,-0.3156414631547,0.0432307470018783,0.956769252998122,0,1.02898521552606,548.7740497,1.53717923895524,1.45143821677514
2004,9,"L.Shuswap",2994,"2234","",NA,0,0,0,0,0,0,0,1935,0,0,0,1935,1935,1935,"0",2234,189793,2845464,2141,-0.143686374165264,0,1,0,0.0950085306071674,328.1716624,0.131350676459699,-0.0441743896001728
2005,9,"L.Shuswap",21113,"11792","",NA,0,0,0,1119,32714,37,0,0,0,0,0,33833,33870,33870,"1",11792,2234,189793,2845464,1.0551083313827,0.0330380868024801,0.965869501033363,0.00109241216415707,-0.118522338862504,657.1627969,-0.190057555803659,2.18627875356904
2006,9,"L.Shuswap",2897709,"1170725","",104566067,0,29047,45470,0,17333012,0,0,165185,402,0,0,17527646,17573116,17573116,"0.990559885",1170725,11792,2234,189793,2.7087470192061,0.00165292256649305,0.998324201581552,2.287585195477e-05,-1.31711058087095,407.2142707,-1.99418137655313,0.491708847481487
2007,9,"L.Shuswap",61043,"32296","",NA,0,0,58,0,215880,0,0,94,0,63,0,216037,216095,216095,"0.999564762",32296,1170725,11792,2234,1.90077474225815,0,1,0,-0.701690652720648,653.762543,-1.067846782882,2.16322613541762
2008,9,"L.Shuswap",164,"83","",NA,0,0,0,0,0,0,0,9300,0,0,0,9300,9300,9300,"0",83,32296,1170725,11792,4.71892907134475,0,1,0,-0.0443110595526545,435.5747755,-0.0783541933988664,0.683983867807378
2009,9,"L.Shuswap",39780,"24792","",NA,0,0,0,1259,384008,211,0,0,0,0,43,385310,385522,385521,"1",24792,83,32296,1170725,2.74407464574241,0.00326571055792032,0.99607544076717,0.000658848674910057,-0.0837927400020656,577.8224288,-0.137782308647722,1.64837680165839
2010,9,"L.Shuswap",7519018,"3073276","",NA,0,14837,41206,0,8155536,20,0,10631,993,0,0,8181997,8223223,8223223,"0.998698165",3073276,24792,83,32296,0.984218131048579,0.00180428038981796,0.998072531901421,0.000123187708760908,-0.164164257802204,355.8470816,-0.258758107250624,0.143455972649499
2011,9,"L.Shuswap",165695,"558219","",NA,0,0,89,0,19139,0,0,644,0,0,0,19783,19872,19872,"0.967446798",558219,3073276,24792,83,-3.33543965275109,0,1,0,0.267699637403428,549.4208599,0.391286598140906,1.45582338005869
2012,9,"L.Shuswap",NA,"6","",NA,0,0,0,161,0,0,0,0,0,0,0,161,161,161,"1",6,558219,3073276,24792,3.28964489575641,1,0,0,0.267699637403428,432,0.391286598140906,0.659748049835513
2013,9,"L.Shuswap",NA,"87946","",NA,0,71.56406226,0,0,27943.23453,26.19751636,0,0,0,0,0,28015,28041,28040.99611,"1",87946,6,558219,3073276,-1.14305540361961,0.00255212268420375,0.996513619572696,0.000934257693886182,1.39174018013966,513,2.08320067468856,1.20890176752241
2014,9,"L.Shuswap",NA,"1053494","",NA,0,0,9156.802484,0,4289887.366,0,0,12298.3871,0,0,0,4413132,4422289,4311342.556,"0.997141363",1053494,87946,6,558219,1.40913709457758,0,0.999999999903511,0,1.4252389708819,701,2.13362330042958,2.48348076659818
2015,9,"L.Shuswap",NA,"3178","",NA,0,0,0,0,2000,0,0,38.46153846,0,0,0,0,0,2038.461538,"0.981132075",3178,1053494,87946,6,-0.4440566928103,0,1.00000000022566,0,0.503962606125467,639,0.746911353076066,2.06314088392426
2016,9,"L.Shuswap",NA,"25","",NA,0,0,0,0,38.46153846,0,0,4.586593102,0,0,0,0,0,43.04813156,"0.893454305",25,3178,1053494,87946,0.543443003437645,0,1.00000000004646,0,0.86121401176769,315,1.28464879144385,-0.133473986823343
