"","X","X5","X25","X40","X60","X75","X90","agent","stock"
"219","b.load_std.Stock.L.Stuart.",-0.706898927505911,-0.287418246285301,-0.129833511865902,0.0493713140949091,0.211353237305074,0.423424839862037,"pa_kab","L.Stuart"
"220","b.load_std.Stock.Nadina.",-0.725771714524658,-0.308870730974962,-0.15679492549282,0.028650699313705,0.192247820411087,0.40733088765946,"pa_kab","Nadina"
"221","b.load_std.Stock.Pitt.",-0.610683162076588,-0.208568523699079,-0.0505511527005338,0.132102550073122,0.284691504160815,0.511050704154672,"pa_kab","Pitt"
"222","b.load_std.Stock.Portage.",-0.582881224207914,-0.189800408849077,-0.0397126014294386,0.151623965217738,0.302014974383322,0.515203645402037,"pa_kab","Portage"
"223","b.load_std.Stock.Quesnel.",-0.547154767748293,-0.144165080351066,0.00545773715849884,0.200134633944364,0.358523439148492,0.59002797295871,"pa_kab","Quesnel"
"224","b.load_std.Stock.Raft.",-0.59586899495094,-0.18528769886144,-0.0358268809535179,0.15189449188583,0.291879150552576,0.54592542317005,"pa_kab","Raft"
"225","b.load_std.Stock.Scotch.",-0.690737272073659,-0.272492295956062,-0.109973837934945,0.0693902757267598,0.219677833764239,0.445591296388927,"pa_kab","Scotch"
"226","b.load_std.Stock.Seymour.",-0.663124619858904,-0.242685851868337,-0.105586372072021,0.08317890743468,0.228924089407449,0.473895161609295,"pa_kab","Seymour"
"227","b.load_std.Stock.Stellako.",-0.781005687261957,-0.329913497121755,-0.186803115536936,0.00705573270605,0.161748211246124,0.376810189067871,"pa_kab","Stellako"
"228","b.load_std.Stock.Weaver.",-0.648055694592991,-0.240797662848516,-0.0897707501410921,0.082750578401012,0.248621671038518,0.47047823598246,"pa_kab","Weaver"
"229","load_std",-0.862149898276099,-0.496051664717087,-0.354931906177749,-0.195775635610012,-0.0617248284907482,0.163913010617498,"pa_min","Global"
"230","b.load_std.Stock.Birkenhead.",-0.867579347940759,-0.480611173686851,-0.326797407144208,-0.156936818225832,-0.000471026297267324,0.243888716398708,"pa_min","Birkenhead"
"231","b.load_std.Stock.Bowron.",-1.03304281723041,-0.613265690416053,-0.442410265045497,-0.258452523317249,-0.120579295104045,0.107498502305862,"pa_min","Bowron"
"232","b.load_std.Stock.Chilko.",-0.971250372676266,-0.566223026475985,-0.410775791665954,-0.235409840470897,-0.0880125059571416,0.145613252266326,"pa_min","Chilko"
"233","b.load_std.Stock.E.Stuart.",-0.924720973672903,-0.532075208579823,-0.386757662932268,-0.20075164496088,-0.0634816609757665,0.172561677230356,"pa_min","E.Stuart"
"234","b.load_std.Stock.Fennell.",-0.867785223777365,-0.497610906110247,-0.338969417878868,-0.176518483264754,-0.0260320345032887,0.223045353301781,"pa_min","Fennell"
"235","b.load_std.Stock.Gates.",-0.829944289271304,-0.454301483971831,-0.310957180207745,-0.13543069542432,0.0174350069889294,0.262607809926127,"pa_min","Gates"
"236","b.load_std.Stock.Harrison.",-0.913862230169707,-0.499593491923878,-0.359885721238998,-0.185883937896452,-0.0323231583881615,0.197936432947989,"pa_min","Harrison"
"237","b.load_std.Stock.L.Shuswap.",-0.911163292266625,-0.528263244690159,-0.379917651911219,-0.211025557737389,-0.0641431684509231,0.169077505075006,"pa_min","L.Shuswap"
"238","b.load_std.Stock.L.Stuart.",-0.87397159476558,-0.484608733022344,-0.327261715395845,-0.166971401156374,-0.0157038731022572,0.215644672343924,"pa_min","L.Stuart"
"239","b.load_std.Stock.Nadina.",-0.965397509302598,-0.547188503886835,-0.387420956146921,-0.218945637998531,-0.0687071979926646,0.180701190990296,"pa_min","Nadina"
"240","b.load_std.Stock.Pitt.",-0.8479142050761,-0.465949411036102,-0.312794240761822,-0.158360661834551,-0.0124982943780968,0.24531359613592,"pa_min","Pitt"
"241","b.load_std.Stock.Portage.",-0.902303382096916,-0.529252770668203,-0.379672152482114,-0.213095035012106,-0.0538748653886264,0.179207364258178,"pa_min","Portage"
"242","b.load_std.Stock.Quesnel.",-0.931346838498076,-0.561433722924421,-0.39275388396009,-0.226335728523973,-0.0810308593450158,0.168862733696228,"pa_min","Quesnel"
"243","b.load_std.Stock.Raft.",-0.947477123642897,-0.554693960985482,-0.388363837580364,-0.224464684864471,-0.0795895531511616,0.155855254266287,"pa_min","Raft"
"244","b.load_std.Stock.Scotch.",-0.885662519532129,-0.502632628514818,-0.345119742129326,-0.185587184726168,-0.0252691630268423,0.213104407792117,"pa_min","Scotch"
"245","b.load_std.Stock.Seymour.",-0.922865968548739,-0.537809295179387,-0.38892886949642,-0.219224058279142,-0.0678319402863772,0.169937113508555,"pa_min","Seymour"
"246","b.load_std.Stock.Stellako.",-0.884068716425139,-0.507860879004098,-0.355472534442136,-0.191900994468908,-0.0482250458383446,0.191551603234856,"pa_min","Stellako"
"247","b.load_std.Stock.Weaver.",-0.800720266780123,-0.413267992712544,-0.263893553943916,-0.0856560454205179,0.068279230615905,0.30905537160248,"pa_min","Weaver"
"248","load_std",-0.864983796303608,-0.497351294152675,-0.348742694156902,-0.194671856589549,-0.0463754464511594,0.16497231274093,"pa_pse","Global"
"249","b.load_std.Stock.Birkenhead.",-0.904555011255511,-0.493102984816082,-0.314503286841071,-0.12476416648566,0.0446168165780081,0.291740247609234,"pa_pse","Birkenhead"
"250","b.load_std.Stock.Bowron.",-0.942501722737484,-0.52211565663048,-0.346695456281299,-0.137968091111871,0.0334935276376104,0.288880492174545,"pa_pse","Bowron"
"251","b.load_std.Stock.Chilko.",-0.794442777529251,-0.364668288545106,-0.196492541561572,0.0156101719269112,0.184587010468957,0.435581691171093,"pa_pse","Chilko"
"252","b.load_std.Stock.E.Stuart.",-0.694849641489974,-0.265392604030333,-0.0940957002374831,0.103640998536703,0.279570366039346,0.532977876748662,"pa_pse","E.Stuart"
"253","b.load_std.Stock.Fennell.",-1.14180955729672,-0.748355626789411,-0.562325551138164,-0.354735270094792,-0.203479337167538,0.0748707628427327,"pa_pse","Fennell"
"254","b.load_std.Stock.Gates.",-0.885555833526309,-0.450325809468349,-0.276304521533663,-0.08800089572126,0.0911912408028915,0.350766580286443,"pa_pse","Gates"
"255","b.load_std.Stock.Harrison.",-0.729054731014023,-0.303634611661282,-0.147453153678237,0.0834646488727098,0.25622146701106,0.504799024945989,"pa_pse","Harrison"
