stock_name	Stock.ID	BY	total_adult_spawner	total_effective_female_spawner	juv_type	juvenile_estimate	age.21	age.31 	age.32 	age.41	age.42	age.43	age.51	age.52	age.53	age.62 	age.63	recruits_no_jacks	total_recruits_psc	total_recruits	prop_4s
E.Stuart	1	2016		3651			0	0	0	0	14571.42857	0	0	2384.805831	0	0	0	14571.42857	14571.42857	16956.2344	0.859355222
L.Stuart	2	1948	0				0	0	0	0	327	0	0	0	0	0	0	327	327	327	1
L.Stuart	2	1949	107752	39085			0	0	3433	0	1526554	0	0	0	215	0	0	1526769	1530202	1530202	1
L.Stuart	2	1950	5843	1834			0	0	591	0	36671	0	0	2419	0	0	0	39090	39681	39681	0.938117166
L.Stuart	2	1951	4364	1247			0	0	0	0	56085	0	0	7559	166	0	0	63810	63810	63810	0.881229967
L.Stuart	2	1952	35	16			0	0	86	0	3858	0	0	29	0	0	0	3887	3973	3973	0.992539233
L.Stuart	2	1953	368634	78689			0	0	830	0	1548072	0	0	1470	1867	0	0	1551409	1552239	1552239	0.999051333
L.Stuart	2	1954	5470	2687			0	0	150	0	135111	0	0	2704	0	0	0	137815	137965	137965	0.980379494
L.Stuart	2	1955	7582	3274			0	0	29	0	50196	0	0	1120	0	0	0	51316	51345	51345	0.978174449
L.Stuart	2	1956	913	466			0	0	0	0	13472	0	0	32630	0	0	0	46102	46102	46102	0.292221596
L.Stuart	2	1957	531108	300029			0	0	874	0	1327094	0	0	1916	0	0	0	1329010	1329884	1329884	0.998558325
L.Stuart	2	1958	23619	13152			0	0	672	0	53044	0	0	961	0	0	0	54005	54677	54677	0.982205351
L.Stuart	2	1959	8225	4090			0	0	67	0	6092	0	0	1233	0	0	0	7325	7392	7392	0.831672355
L.Stuart	2	1960	2396	1307			0	0	27	0	6658	0	0	2932	0	0	0	9590	9617	9617	0.694264859
L.Stuart	2	1961	410887	194469			0	0	143	0	770385	0	0	7535	415	0	0	778335	778478	778478	0.990313914
L.Stuart	2	1962	18643	9073			0	0	45	0	43107	0	0	1917	0	0	0	45024	45069	45069	0.957422708
L.Stuart	2	1963	3222	1092			0	0	25	0	11911	0	0	113	0	0	0	12024	12049	12049	0.990602129
L.Stuart	2	1964	1816	824			0	0	60	0	1806	0	0	1235	0	0	0	3041	3101	3101	0.593883591
L.Stuart	2	1965	214943	122789			0	0	228	0	1102448	0	0	21752	91	0	0	1124291	1124519	1124519	0.98065113
L.Stuart	2	1966	9027	4164			0	0	274	0	71954	0	0	1851	0	0	0	73805	74079	74079	0.974920398
L.Stuart	2	1967	1629	897			0	0	224	0	6294	0	0	10038	0	0	0	16332	16556	16556	0.385378398
L.Stuart	2	1968	389	179			0	0	0	0	27393	0	0	3906	0	0	0	31299	31299	31299	0.875203681
L.Stuart	2	1969	207014	114306			0	0	2756	0	1602892	54	0	19888	0	0	0	1622780	1625590	1625590	0.987744488
L.Stuart	2	1970	14978	8027			0	0	318	0	70520	0	0	0	0	0	0	70520	70838	70838	1
L.Stuart	2	1971	1535	725			0	0	1243	0	65527	0	0	0	0	0	0	65527	66770	66770	1
L.Stuart	2	1972	7341	3411			0	0	0	0	16180	0	0	2586	0	0	0	18766	18766	18766	0.862197591
L.Stuart	2	1973	214230	116706			0	0	290	0	658158	0	0	5807	1843	0	0	665808	666098	666098	0.991254057
L.Stuart	2	1974	14190	7371			0	0	855	0	48593	0	0	1268	0	0	0	49861	50716	50716	0.974569303
L.Stuart	2	1975	14229	5679			0	0	541	0	214097	0	0	478	0	0	0	214575	215116	215116	0.997772341
L.Stuart	2	1976	2898	1674			0	0	0	0	3339	0	0	0	0	0	0	3339	3339	3339	1
L.Stuart	2	1977	146459	75890			0	0	104	0	1313861	0	0	43776	0	0	0	1357637	1357741	1357741	0.96775574
L.Stuart	2	1978	12738	7115			0	0	699	0	69820	0	0	8928	0	0	0	78748	79447	79447	0.886625692
L.Stuart	2	1979	31918	16711			0	0	0	0	6854	0	0	0	0	0	0	6854	6854	6854	1
L.Stuart	2	1980	946	286			0	0	0	0	21440	0	0	0	0	0	0	21440	21440	21440	1
L.Stuart	2	1981	249494	120124			0	0	0	0	1978010	0	0	55891	0	0	0	2033901	2033901	2033901	0.972520295
L.Stuart	2	1982	16758	8681			0	0	193	0	52097	0	0	8699	0	0	0	60796	60989	60989	0.856914929
L.Stuart	2	1983	2246	1451			0	0	0	0	14195	0	0	3717	32	0	0	17944	17944	17944	0.792485485
L.Stuart	2	1984	1228	672			0	0	222	0	14522	0	0	0	0	0	0	14522	14744	14744	1
L.Stuart	2	1985	274621	159101			0	0	7755	0	3367086	0	0	132788	0	0	0	3499874	3507629	3507629	0.962059206
L.Stuart	2	1986	28715	15044			0	0	264	0	725126	0	0	91171	0	0	0	816297	816561	816561	0.888311485
L.Stuart	2	1987	6472	2393			0	0	984	0	283932	0	0	95155	0	0	0	379087	380071	380071	0.748989018
L.Stuart	2	1988	7117	3638			0	0	1552	0	207234	0	0	0	0	0	0	207234	208786	208786	1
L.Stuart	2	1989	575697	327096			0	0	20256	0	5162734	0	0	144134	0	0	0	5306868	5327124	5327124	0.972840101
L.Stuart	2	1990	189079	111747			0	0	440	0	372685	44	0	16654	0	0	0	389339	389823	389823	0.957224938
L.Stuart	2	1991	76860	40200			0	0	354	0	91441	0	0	17786	0	0	0	109227	109581	109581	0.837164804
L.Stuart	2	1992	19513	12422			0	0	0	0	128970	0	0	6429	0	0	0	135399	135399	135399	0.952518113
L.Stuart	2	1993	1363826	744565			0	0	4082	0	3249145	0	0	511029	0	0	0	3760174	3764256	3764256	0.864094321
L.Stuart	2	1994	76462	40717			0	0	0	0	108011	0	0	7429	0	0	0	115440	115440	115440	0.935646223
L.Stuart	2	1995	34362	17181			0	0	1366	0	92713	0	0	39375	0	0	0	132088	133454	133454	0.701903277
L.Stuart	2	1996	62991	27297			0	0	607	0	810002	0	0	212391	0	0	0	1022393	1023000	1023000	0.792260902
