"","2.5%","25%","50%","75%","97.5%",""
"b[(Intercept) Stock:E.Stuart]","-0.386407700183053","-0.0941661974092267","-0.00316057748354137","0.0791991238868343","0.365373402331187","fa_mar"
"b[(Intercept) Stock:Fennell]","-0.66635261058728","-0.258117307529504","-0.100479940090571","-0.00218962828133658","0.174564553531149","fa_mar"
"b[(Intercept) Stock:Gates]","-0.135962180298343","0.0144232319299355","0.133246814653497","0.310626705050874","0.73584567343567","fa_mar"
"b[(Intercept) Stock:Harrison]","-0.138047162492524","0.00858881835099076","0.126204159597422","0.303950864699805","0.687763988036332","fa_mar"
"b[(Intercept) Stock:L.Shuswap]","-0.237333204179339","-0.0208145560398273","0.0518587071829087","0.18600472877812","0.536877449596137","fa_mar"
"b[(Intercept) Stock:L.Stuart]","-0.502659038528202","-0.165659420674895","-0.0467727968767303","0.024999450240618","0.241110708259763","fa_mar"
"b[(Intercept) Stock:Nadina]","-0.27885177655207","-0.0335095491347223","0.0373662143449609","0.164025522819848","0.503713067776928","fa_mar"
"b[(Intercept) Stock:Pitt]","-0.355219190388695","-0.0597352510590514","0.0260778794131655","0.154359624041938","0.490315012474452","fa_mar"
"b[(Intercept) Stock:Portage]","-0.538905771058895","-0.184636855610338","-0.0573167359117253","0.0176069293827462","0.238349472822643","fa_mar"
"b[(Intercept) Stock:Quesnel]","-0.597282243373046","-0.197079596230482","-0.0611486555271288","0.0158828026451918","0.21517262753819","fa_mar"
"b[(Intercept) Stock:Raft]","-0.465010342718666","-0.122651751714152","-0.0190731074422571","0.0515272042723316","0.300030535864052","fa_mar"
"b[(Intercept) Stock:Scotch]","-0.378540808740039","-0.0830182651228699","1.78880350236411e-05","0.0886802184775602","0.371534064855722","fa_mar"
"b[(Intercept) Stock:Seymour]","-0.504768537129321","-0.177908017915776","-0.0470504395772005","0.0247618971192159","0.250161767486141","fa_mar"
"b[(Intercept) Stock:Stellako]","-0.488350693756321","-0.139181352398402","-0.0216476732969232","0.0475986619927675","0.286233295163068","fa_mar"
"b[(Intercept) Stock:Weaver]","-0.515231804904025","-0.158217634672244","-0.0344281704795926","0.032876093090284","0.274280775555332","fa_mar"
"b[(Intercept) Stock:Birkenhead]","-0.615198521534656","-0.155518960297143","-0.0326475017035976","0.0054898657425265","0.133106704957138","fl_psy"
"b[(Intercept) Stock:Bowron]","-0.519431012784717","-0.130858288499297","-0.0246447051273362","0.00968309152122367","0.150736336782729","fl_psy"
"b[(Intercept) Stock:Chilko]","-0.159894760852375","-0.0140425817768224","0.0217622826716395","0.124695473627492","0.481340325678306","fl_psy"
"b[(Intercept) Stock:E.Stuart]","-0.297260539804901","-0.0540139074338278","-0.000382288306887135","0.047802238852474","0.284484401441424","fl_psy"
"b[(Intercept) Stock:Fennell]","-0.554974067761558","-0.144514489293431","-0.0305393947844559","0.00650522106238168","0.146809704714089","fl_psy"
"b[(Intercept) Stock:Gates]","-0.13784661379064","-0.00512972250743671","0.0349413023213158","0.16641071419524","0.585157746547365","fl_psy"
"b[(Intercept) Stock:Harrison]","-0.13239391249506","-0.00463622068106173","0.0340144256422828","0.156792906947688","0.563533082753531","fl_psy"
"b[(Intercept) Stock:L.Shuswap]","-0.178675175137018","-0.0160693649165633","0.0174211364501742","0.106621883284166","0.437064899149386","fl_psy"
"b[(Intercept) Stock:L.Stuart]","-0.40587082600143","-0.087992599780709","-0.00932898613548709","0.0260430366372462","0.219038159108128","fl_psy"
"b[(Intercept) Stock:Nadina]","-0.210465974515338","-0.018860015671301","0.014921732747245","0.104809575389955","0.437098611420484","fl_psy"
"b[(Intercept) Stock:Pitt]","-0.297353161307246","-0.0474357583462162","0.000157036705214271","0.0539448998377286","0.314502686125733","fl_psy"
"b[(Intercept) Stock:Portage]","-0.420555875216581","-0.089083104191355","-0.00802304232290836","0.0293263814044935","0.233761179362272","fl_psy"
"b[(Intercept) Stock:Quesnel]","-0.44549042505704","-0.097406373901897","-0.0149038680482048","0.0181215431377231","0.1898499364515","fl_psy"
"b[(Intercept) Stock:Raft]","-0.360636056099536","-0.071321806124008","-0.00385755431208655","0.0353822685715697","0.253996310956834","fl_psy"
"b[(Intercept) Stock:Scotch]","-0.287014895479146","-0.0479331115946995","0.00126523637626501","0.055595816977407","0.325981463039042","fl_psy"
"b[(Intercept) Stock:Seymour]","-0.415436315051039","-0.0891157664062182","-0.00909835918020299","0.0241702027671663","0.229020481010716","fl_psy"
"b[(Intercept) Stock:Stellako]","-0.359340348441322","-0.0735148837591618","-0.0052047131424582","0.0325248455686889","0.239395613612086","fl_psy"
"b[(Intercept) Stock:Weaver]","-0.403508899559143","-0.091048448874493","-0.0102344380521821","0.0235609149935808","0.205793412092858","fl_psy"
"b[(Intercept) Stock:Birkenhead]","-0.713775464227901","-0.274876978683652","-0.10174140710126","-0.000806090893204933","0.182371601681997","ic_hof"
"b[(Intercept) Stock:Bowron]","-0.69763190375745","-0.28524792567452","-0.119737301219274","-0.00939900212630969","0.161950667579307","ic_hof"
"b[(Intercept) Stock:Chilko]","-0.2168846156011","-0.00629795247133011","0.0788417702293194","0.228068248836001","0.55662757597811","ic_hof"
"b[(Intercept) Stock:E.Stuart]","-0.426785579411153","-0.116147086141881","-0.00636402600774931","0.0791614798953333","0.371641571535989","ic_hof"
"b[(Intercept) Stock:Fennell]","-0.723534197241298","-0.308023463267414","-0.130742122252156","-0.0108147507607697","0.171732491210414","ic_hof"
"b[(Intercept) Stock:Gates]","-0.125158256791154","0.0271832038054189","0.164478958450636","0.363390087981916","0.755925882532351","ic_hof"
"b[(Intercept) Stock:Harrison]","-0.149217549872819","0.0233882353868832","0.159134946643086","0.345345277624974","0.722449328142295","ic_hof"
"b[(Intercept) Stock:L.Shuswap]","-0.25428852280667","-0.0188750161636006","0.0617793577959267","0.201194809731104","0.548629937685959","ic_hof"
"b[(Intercept) Stock:L.Stuart]","-0.509228622277821","-0.19395913298159","-0.053384864287002","0.0270234599249639","0.261829487052974","ic_hof"
"b[(Intercept) Stock:Nadina]","-0.30734537170754","-0.0402874626416396","0.0384682020122493","0.171383600383566","0.511227729502368","ic_hof"
"b[(Intercept) Stock:Pitt]","-0.389868378182439","-0.0523042176415533","0.0467143769304361","0.190446307048278","0.512669290709102","ic_hof"
"b[(Intercept) Stock:Portage]","-0.596722568712865","-0.226655768949203","-0.0754231813629652","0.0126685002170071","0.247752100934769","ic_hof"
