"","X","X5","X25","X40","X60","X75","X90","agent","stock"
"100","b.prev_std.Stock.E.Stuart.",-0.853601866445282,-0.519650692456064,-0.384081755995382,-0.214249526410129,-0.0622738426853685,0.163108062609978,"fl_psy","E.Stuart"
"101","b.prev_std.Stock.Fennell.",-0.863056343456356,-0.523045546981602,-0.39100115139966,-0.219665014661787,-0.0778751743818123,0.129478612209712,"fl_psy","Fennell"
"102","b.prev_std.Stock.Gates.",-0.940860599623098,-0.594836743525681,-0.445994933862983,-0.272132187083144,-0.119848437262943,0.0768175514186822,"fl_psy","Gates"
"103","b.prev_std.Stock.Harrison.",-0.948887257661834,-0.595987119117775,-0.444097438688245,-0.271782188141559,-0.130173082698492,0.0921325524960955,"fl_psy","Harrison"
"104","b.prev_std.Stock.L.Shuswap.",-0.949717063501036,-0.59664846933481,-0.44840203875644,-0.280530268304182,-0.139421078607638,0.0949099244861031,"fl_psy","L.Shuswap"
"105","b.prev_std.Stock.L.Stuart.",-0.850750833184661,-0.505401612347141,-0.365519096390542,-0.19982826181601,-0.0442597204998196,0.179406932648384,"fl_psy","L.Stuart"
"106","b.prev_std.Stock.Nadina.",-0.848719004914781,-0.511797972832754,-0.375934566354826,-0.206867441292269,-0.0525553963149136,0.178317754398035,"fl_psy","Nadina"
"107","b.prev_std.Stock.Pitt.",-1.03293412703478,-0.644661871510974,-0.503737371750398,-0.321173088132965,-0.170000764788029,0.0605429181488213,"fl_psy","Pitt"
"108","b.prev_std.Stock.Portage.",-0.895639325133272,-0.542984435571277,-0.399281576407228,-0.233031722123221,-0.0890387093248457,0.150335902675213,"fl_psy","Portage"
"109","b.prev_std.Stock.Quesnel.",-0.902784869747541,-0.545322084102206,-0.406616170407826,-0.231144185107821,-0.0884310768752998,0.132395030764695,"fl_psy","Quesnel"
"110","b.prev_std.Stock.Raft.",-0.909901484995403,-0.562283162545312,-0.420312608733545,-0.256062077768177,-0.113712059609608,0.106804941812991,"fl_psy","Raft"
"111","b.prev_std.Stock.Scotch.",-0.9334041028657,-0.56172072797336,-0.423162573467982,-0.250177371265882,-0.10982134362241,0.0994202258613062,"fl_psy","Scotch"
"112","b.prev_std.Stock.Seymour.",-0.866354730068115,-0.527159264568293,-0.384349764286328,-0.213846011799679,-0.0709553204283905,0.135781010796696,"fl_psy","Seymour"
"113","b.prev_std.Stock.Stellako.",-0.858659502523149,-0.523694268243455,-0.391524518342269,-0.223084204575461,-0.0831822414026616,0.136595900868034,"fl_psy","Stellako"
"114","b.prev_std.Stock.Weaver.",-0.921544953163694,-0.576536132945266,-0.439734638268633,-0.266560434519419,-0.127809141068602,0.087226707049185,"fl_psy","Weaver"
"115","prev_std",-0.66838492290701,-0.278832091615964,-0.138261196620016,0.0197976011390327,0.17055888738254,0.387411978187714,"ic_hof","Global"
"116","b.prev_std.Stock.Birkenhead.",-0.656002201598828,-0.291952437289091,-0.13546340880103,0.0356152661092459,0.181026801415957,0.40791480995496,"ic_hof","Birkenhead"
